Nº alertas = 318
 [1:1071:15] "SERVER-WEBAPP .htpasswd access attempt" 
 [1:1567:26] "SERVER-IIS /exchange/root.asp attempt" 
 [1:1568:23] "SERVER-IIS /exchange/root.asp access" 
 [1:1772:18] "SERVER-IIS pbserver access" 
 [1:2076:11] "SERVER-WEBAPP Mambo uploadimage.php access" 
 [1:1080:23] "SERVER-WEBAPP unify eWave ServletExec upload" 
 [1:1128:16] "SERVER-WEBAPP cpshost.dll access" 
 [1:1076:18] "SERVER-IIS repost.asp access" 
 [1:1492:17] "SERVER-WEBAPP RBS ISP /newuser  directory traversal attempt" 
 [1:1493:16] "SERVER-WEBAPP RBS ISP /newuser access" 
 [1:1560:14] "SERVER-WEBAPP /doc/ access" 
 [1:2565:14] "SERVER-WEBAPP modules.php access" 
 [1:1146:13] "SERVER-WEBAPP Ecommerce import.txt access" 
 [1:1848:13] "SERVER-WEBAPP webcart-lite access" 
 [1:1148:13] "SERVER-WEBAPP Ecommerce import.txt access" 
 [1:1125:16] "SERVER-WEBAPP webcart access" 
 [1:1166:17] "SERVER-WEBAPP ws_ftp.ini access" 
 [1:1286:20] "SERVER-IIS _mem_bin access" 
 [1:1660:19] "SERVER-IIS trace.axd access" 
 [1:1765:16] "SERVER-WEBAPP Nortel Contivity cgiproc access" 
 [1:1528:15] "SERVER-WEBAPP BBoard access" 
 [1:1164:18] "SERVER-WEBAPP shopping cart access" 
 [1:2484:9] "SERVER-WEBAPP source.jsp access" 
 [1:903:19] "SERVER-OTHER Adobe Coldfusion cfcache.map access" 
 [1:1551:14] "SERVER-WEBAPP /CVS/Entries access" 
 [1:2228:16] "SERVER-WEBAPP phpMyAdmin db_details_importdocsql.php access" 
 [1:1402:19] "SERVER-IIS iissamples access" 
 [1:1150:16] "SERVER-WEBAPP Domino catalog.nsf access" 
 [1:1576:14] "SERVER-WEBAPP Domino cersvr.nsf access" 
 [1:1152:15] "SERVER-WEBAPP Domino domlog.nsf access" 
 [1:1580:14] "SERVER-WEBAPP Domino events4.nsf access" 
 [1:1153:15] "SERVER-WEBAPP Domino log.nsf access" 
 [1:1154:15] "SERVER-WEBAPP Domino names.nsf access" 
 [1:2062:11] "SERVER-WEBAPP iPlanet .perf access" 
 [1:1048:16] "SERVER-WEBAPP Netscape Enterprise directory listing attempt" 
 [1:1103:19] "SERVER-WEBAPP Netscape admin passwd" 
 [1:1586:16] "SERVER-WEBAPP Domino mail.box access" 
 [1:1577:14] "SERVER-WEBAPP Domino setup.nsf access" 
 [1:1578:14] "SERVER-WEBAPP Domino statrep.nsf access" 
 [1:1579:16] "SERVER-WEBAPP Domino webadmin.nsf access" 
 [1:931:19] "SERVER-OTHER Adobe Coldfusion cfmlsyntaxcheck.cfm access" 
 [1:2246:14] "SERVER-WEBAPP webadmin.dll access" 
 [1:1587:22] "SERVER-WEBAPP cgitest.exe access" 
 [1:1122:16] "SERVER-WEBAPP /etc/passwd file access attempt" 
 [1:1002:19] "SERVER-IIS cmd.exe access" 
 [1:992:17] "SERVER-IIS adctest.asp access" 
 [1:1401:20] "SERVER-IIS /msadc/samples/ access" 
 [1:875:22] "SERVER-WEBAPP win-c-sample.exe access" 
 [1:1829:15] "SERVER-APACHE Apache Tomcat TroubleShooter servlet access" 
 [1:911:20] "SERVER-OTHER Adobe Coldfusion exprcalc access" 
 [1:1244:29] "SERVER-IIS ISAPI .idq attempt" 
 [1:966:25] "SERVER-OTHER Microsoft Frontpage .... request" 
 [1:906:22] "SERVER-OTHER Adobe Coldfusion getfile.cfm access" 
 [1:928:18] "SERVER-OTHER Adobe Coldfusion exampleapp access" 
 [1:1773:15] "SERVER-WEBAPP php.exe access" 
 [1:1517:17] "SERVER-WEBAPP envout.bat access" 
 [1:1147:21] "SERVER-WEBAPP cat_ access" 
 [1:2154:8] "SERVER-WEBAPP autohtml.php access" 
 [1:1491:18] "SERVER-WEBAPP Phorum /support/common.php access" 
 [1:1611:15] "SERVER-WEBAPP eXtropia webstore access" 
 [1:2000:12] "SERVER-WEBAPP readmsg.php access" 
 [1:1157:17] "SERVER-WEBAPP Netscape PublishingXpert access" 
 [1:1828:16] "SERVER-WEBAPP iPlanet Search directory traversal attempt" 
 [1:1376:13] "SERVER-WEBAPP jrun directory browse attempt" 
 [1:2077:11] "SERVER-WEBAPP Mambo upload.php access" 
 [1:1827:16] "SERVER-APACHE Apache Tomcat servlet mapping cross site scripting attempt" 
 [1:1231:16] "SERVER-WEBAPP VirusWall catinfo access" 
 [1:1767:13] "SERVER-WEBAPP search.dll access" 
 [1:1774:15] "SERVER-WEBAPP bb_smilies.php access" 
 [1:1834:16] "SERVER-WEBAPP PHP-Wiki cross site scripting attempt" 
 [1:1667:15] "SERVER-WEBAPP cross site scripting HTML Image tag set to javascript attempt" 
 [1:2347:14] "SERVER-WEBAPP myPHPNuke partner.php access" 
 [1:2346:14] "SERVER-WEBAPP myPHPNuke chatheader.php access" 
 [1:1835:14] "SERVER-WEBAPP Macromedia SiteSpring cross site scripting attempt" 
 [1:1998:14] "SERVER-WEBAPP calendar.php access" 
 [1:882:17] "SERVER-WEBAPP calendar access" 
 [1:922:19] "SERVER-OTHER Adobe Coldfusion displayfile access" 
 [1:1659:17] "SERVER-OTHER Adobe Coldfusion sendmail.cfm access" 
 [1:1877:15] "SERVER-WEBAPP printenv access" 
 [1:1212:13] "SERVER-WEBAPP Admin_files access" 
 [1:910:18] "SERVER-OTHER Adobe Coldfusion fileexists.cfm access" 
 [1:930:18] "SERVER-OTHER Adobe Coldfusion snippets attempt" 
 [1:1722:18] "SERVER-WEBAPP MachineInfo access" 
 [1:1108:19] "SERVER-APACHE Apache Tomcat server snoop access" 
 [1:915:19] "SERVER-OTHER Adobe Coldfusion evaluate.cfm access" 
 [1:935:19] "SERVER-OTHER Adobe Coldfusion startstop DOS access" 
 [1:1141:19] "SERVER-WEBAPP handler access" 
 [1:1163:19] "SERVER-WEBAPP webdist.cgi access" 
 [1:2060:8] "SERVER-WEBAPP DB4Web access" 
 [1:1173:18] "SERVER-WEBAPP architext_query.pl access" 
 [1:1544:15] "SERVER-WEBAPP Cisco Catalyst command execution attempt" 
 [1:936:18] "SERVER-OTHER Adobe Coldfusion gettempdirectory.cfm access " 
 [1:1230:16] "SERVER-WEBAPP VirusWall FtpSave access" 
 [1:1742:17] "SERVER-WEBAPP Blahz-DNS dostuff.php modify user attempt" 
 [1:1743:17] "SERVER-WEBAPP Blahz-DNS dostuff.php access" 
 [1:1540:20] "SERVER-OTHER Adobe Coldfusion ?Mode=debug attempt" 
 [1:1250:22] "OS-OTHER Cisco IOS HTTP configuration attempt" 
 [1:2138:10] "SERVER-WEBAPP logicworks.ini access" 
 [1:1168:16] "SERVER-WEBAPP mall log order access" 
 [1:1407:15] "SERVER-WEBAPP smssend.php access" 
 [1:1385:18] "SERVER-WEBAPP mod-plsql administration access" 
 [1:1564:14] "SERVER-WEBAPP login.htm access" 
 [1:805:22] "SERVER-WEBAPP Progress webspeed access" 
 [1:1726:12] "SERVER-IIS doctodep.btr access" 
 [1:940:29] "SERVER-OTHER Microsoft Frontpage shtml.dll access" 
 [1:937:22] "SERVER-OTHER Microsoft Frontpage _vti_rpc access" 
 [1:952:18] "SERVER-OTHER Microsoft Frontpage author.exe access" 
 [1:967:26] "SERVER-OTHER Microsoft Frontpage dvwssr.dll access" 
 [1:1248:31] "SERVER-OTHER Microsoft Frontpage rad fp30reg.dll access" 
 [1:955:23] "SERVER-OTHER Microsoft Frontpage access.cnf access" 
 [1:958:22] "SERVER-OTHER Microsoft Frontpage service.cnf access" 
 [1:961:22] "SERVER-OTHER Microsoft Frontpage services.cnf access" 
 [1:965:22] "SERVER-OTHER Microsoft Frontpage writeto.cnf access" 
 [1:1847:18] "SERVER-WEBAPP webalizer access" 
 [1:1175:18] "SERVER-WEBAPP wwwboard.pl access" 
 [1:1111:18] "SERVER-APACHE Apache Tomcat server exploit access" 
 [1:1592:18] "SERVER-WEBAPP /fcgi-bin/echo.exe access" 
 [1:43290:2] "SERVER-WEBAPP /ws_ftp.log file access attempt" 
 [1:1481:16] "SERVER-WEBAPP upload.cgi access" 
 [1:1521:14] "SERVER-WEBAPP server-status access" 
 [1:1201:13] "INDICATOR-COMPROMISE 403 Forbidden" 
 [1:1123:17] "SERVER-WEBAPP ?PageServices access" 
 [1:1183:19] "SERVER-WEBAPP Netscape Enterprise Server directory view" 
 [1:1160:22] "SERVER-WEBAPP Netscape dir index wp" 
 [1:1500:23] "SERVER-WEBAPP ExAir access" 
 [1:1013:21] "SERVER-IIS fpcount access" 
 [1:807:24] "SERVER-WEBAPP /wwwboard/passwd.txt access" 
 [1:1193:17] "SERVER-WEBAPP oracle web arbitrary command execution attempt" 
 [1:979:22] "SERVER-IIS ASP contents view" 
 [1:1023:25] "SERVER-IIS msadcs.dll access" 
 [1:1024:20] "SERVER-IIS newdsn.exe access" 
 [1:1487:22] "SERVER-IIS /iisadmpwd/aexp2.htr access" 
 [1:1018:23] "SERVER-IIS iisadmpwd attempt" 
 [1:2325:14] "SERVER-IIS VP-ASP ShopDisplayProducts.asp access" 
 [1:1162:15] "SERVER-WEBAPP cart 32 AdminPwd access" 
 [1:1134:21] "SERVER-WEBAPP Phorum admin access" 
 [1:1213:13] "SERVER-WEBAPP backup access" 
 [1:904:22] "SERVER-OTHER Adobe Coldfusion exampleapp application.cfm" 
 [1:932:21] "SERVER-OTHER Adobe Coldfusion application.cfm access" 
 [1:907:17] "SERVER-OTHER Adobe Coldfusion addcontent.cfm access" 
 [1:905:22] "SERVER-OTHER Adobe Coldfusion application.cfm access" 
 [1:1214:14] "SERVER-WEBAPP intranet access" 
 [1:1215:18] "SERVER-WEBAPP ministats admin access" 
 [1:1192:14] "SERVER-WEBAPP Trend Micro OfficeScan access" 
 [1:1155:15] "SERVER-WEBAPP Ecommerce checks.txt access" 
 [1:1556:19] "SERVER-WEBAPP DCShop orders.txt access" 
 [1:1161:17] "SERVER-WEBAPP piranha passwd.php3 access" 
 [1:1202:14] "SERVER-WEBAPP search.vts access" 
 [1:1030:15] "SERVER-IIS search97.vts access" 
 [1:1040:24] "SERVER-IIS srchadm access" 
 [1:887:18] "SERVER-WEBAPP www-sql access" 
 [1:878:18] "SERVER-WEBAPP w3tvars.pm access" 
 [1:1038:20] "SERVER-IIS site server config access" 
 [1:1022:22] "SERVER-IIS jet vba access" 
 [1:1077:19] "SQL queryhit.htm access" 
 [1:1078:19] "SQL counter.exe access" 
 [1:946:18] "SERVER-OTHER Microsoft Frontpage fpadmcgi.exe access" 
 [1:1075:21] "SERVER-IIS postinfo.asp access" 
 [1:984:25] "SERVER-IIS JET VBA access" 
 [1:1073:15] "SERVER-WEBAPP webhits.exe access" 
 [1:851:19] "SERVER-WEBAPP files.pl access" 
 [1:1127:15] "SERVER-WEBAPP convert.bas access" 
 [1:844:21] "SERVER-WEBAPP args.bat access" 
 [1:1585:14] "SERVER-WEBAPP Domino agentrunner.nsf access" 
 [1:1584:14] "SERVER-WEBAPP Domino bookmark.nsf access" 
 [1:1582:14] "SERVER-WEBAPP Domino collect4.nsf access" 
 [1:1151:15] "SERVER-WEBAPP Domino domcfg.nsf access" 
 [1:1575:16] "SERVER-WEBAPP Domino mab.nsf access" 
 [1:1583:14] "SERVER-WEBAPP Domino mailw46.nsf access" 
 [1:1581:14] "SERVER-WEBAPP Domino ntsync4.nsf access" 
 [1:2148:11] "SERVER-WEBAPP BLNews objects.inc.php4 access" 
 [1:2151:12] "SERVER-WEBAPP ttCMS header.php access" 
 [1:2144:13] "SERVER-WEBAPP b2 cafelog gm-2-b2.php access" 
 [1:1458:18] "SERVER-WEBAPP user_update_passwd.pl access" 
 [1:2137:9] "SERVER-WEBAPP philboard_admin.asp access" 
 [1:2397:16] "SERVER-WEBAPP CCBill whereami.cgi access" 
 [1:1525:16] "SERVER-WEBAPP Axis Storpoint CD access" 
 [1:2215:18] "SERVER-WEBAPP Alabanza Control Panel nsManager.cgi access" 
 [1:2223:18] "SERVER-WEBAPP CGIScript.net csNews.cgi access" 
 [1:1787:15] "SERVER-WEBAPP csPassword.cgi access" 
 [1:1724:18] "SERVER-WEBAPP emumail.cgi access" 
 [1:43289:3] "SERVER-WEBAPP /etc/shadow file access attempt" 
 [1:2204:18] "SERVER-WEBAPP EasyBoard 2000 ezadmin.cgi access" 
 [1:2205:18] "SERVER-WEBAPP EasyBoard 2000 ezboard.cgi access" 
 [1:2206:18] "SERVER-WEBAPP EasyBoard 2000 ezman.cgi access" 
 [1:1637:21] "SERVER-WEBAPP yabb access" 
 [1:1142:11] "SERVER-WEBAPP /.... access" 
 [1:2073:10] "SERVER-WEBAPP globals.pl access" 
 [1:2225:15] "SERVER-WEBAPP Linksys BEFSR41 gozila.cgi access" 
 [1:2130:17] "SERVER-IIS IISProtect siteadmin.asp access" 
 [1:2131:14] "SERVER-IIS IISProtect access" 
 [1:1997:13] "SERVER-WEBAPP read_body.php access attempt" 
 [1:2214:18] "SERVER-WEBAPP 3R Soft MailStudio 2000 mailview.cgi access" 
 [1:1037:24] "SERVER-IIS showcode.asp access" 
 [1:2085:17] "SERVER-WEBAPP parse_xml.cgi access" 
 [1:2219:18] "SERVER-WEBAPP Trend Micro Interscan VirusWall setpasswd.cgi access" 
 [1:2133:19] "SERVER-IIS MS BizTalk server access" 
 [1:1434:15] "SERVER-WEBAPP .bash_history access" 
 [1:1433:12] "SERVER-WEBAPP .history access" 
 [1:1872:11] "SERVER-WEBAPP Oracle Dynamic Monitoring Services dms access" 
 [1:1874:9] "SERVER-WEBAPP Oracle Java Process Manager access" 
 [1:839:20] "SERVER-WEBAPP finger access" 
 [1:941:17] "SERVER-OTHER Microsoft Frontpage contents.htm access" 
 [1:945:18] "SERVER-OTHER Microsoft Frontpage fpadmin.htm access" 
 [1:879:20] "SERVER-WEBAPP admin.pl access" 
 [1:950:19] "SERVER-OTHER Microsoft Frontpage cfgwiz.exe access" 
 [1:1542:20] "SERVER-WEBAPP cgimail access" 
 [1:944:18] "SERVER-OTHER Microsoft Frontpage fpremadm.exe access" 
 [1:943:18] "SERVER-OTHER Microsoft Frontpage fpsrvadm.exe access" 
 [1:980:20] "SERVER-IIS CGImail.exe access" 
 [1:942:18] "SERVER-OTHER Microsoft Frontpage orders.htm access" 
 [1:947:18] "SERVER-OTHER Microsoft Frontpage orders.txt access" 
 [1:968:18] "SERVER-OTHER Microsoft Frontpage register.htm access" 
 [1:956:18] "SERVER-OTHER Microsoft Frontpage register.txt access" 
 [1:949:18] "SERVER-OTHER Microsoft Frontpage registrations.htm access" 
 [1:957:18] "SERVER-OTHER Microsoft Frontpage registrations.txt access" 
 [1:990:21] "SERVER-OTHER Microsoft Frontpage _vti_inf.html access" 
 [1:953:19] "SERVER-OTHER Microsoft Frontpage administrators.pwd access" 
 [1:951:22] "SERVER-OTHER Microsoft Frontpage authors.pwd access" 
 [1:959:18] "SERVER-OTHER Microsoft Frontpage service.pwd" 
 [1:964:18] "SERVER-OTHER Microsoft Frontpage users.pwd access" 
 [1:2447:12] "SERVER-WEBAPP ServletManager access" 
 [1:1005:23] "SERVER-IIS codebrowser SDK access" 
 [1:1559:16] "SERVER-WEBAPP /doc/packages access" 
 [1:1119:15] "SERVER-WEBAPP mlog.phtml access" 
 [1:1120:16] "SERVER-WEBAPP mylog.phtml access" 
 [1:908:21] "SERVER-OTHER Adobe Coldfusion administrator access" 
 [1:1816:11] "SERVER-WEBAPP directory.php access" 
 [1:1614:16] "SERVER-WEBAPP Novell Groupwise gwweb.exe attempt" 
 [1:2395:11] "SERVER-WEBAPP InteractiveQuery.jsp access" 
 [1:1871:12] "SERVER-WEBAPP Oracle XSQLConfig.xml access" 
 [1:2326:15] "SERVER-IIS sgdynamo.exe access" 
 [1:2196:18] "SERVER-WEBAPP catgy.cgi access" 
 [1:954:20] "SERVER-OTHER Microsoft Frontpage form_results.htm access" 
 [1:948:20] "SERVER-OTHER Microsoft Frontpage form_results access" 
 [1:1851:14] "SERVER-WEBAPP active.log access" 
 [1:1110:17] "SERVER-WEBAPP apache source.asp file access" 
 [1:1489:16] "SERVER-WEBAPP nobody access" 
 [1:818:17] "SERVER-WEBAPP dcforum.cgi access" 
 [1:1032:20] "SERVER-IIS showcode access" 
 [1:1043:21] "SERVER-IIS viewcode.asp access" 
 [1:1033:20] "SERVER-IIS viewcode access" 
 [1:1034:20] "SERVER-IIS viewcode access" 
 [1:1035:20] "SERVER-IIS viewcode access" 
 [1:1036:20] "SERVER-IIS viewcode access" 
 [1:1031:19] "SERVER-IIS /SiteServer/Publishing/viewcode.asp access" 
 [1:2142:12] "SERVER-WEBAPP shoutbox.php access" 
 [1:1527:15] "SERVER-WEBAPP basilix mysql.class access" 
 [1:1526:16] "SERVER-WEBAPP basilix sendmail.inc access" 
 [1:902:21] "SERVER-WEBAPP tstisapi.dll access" 
 [1:2198:18] "SERVER-WEBAPP cvslog.cgi access" 
 [1:1520:14] "SERVER-WEBAPP server-info access" 
 [1:1209:15] "SERVER-WEBAPP .nsconfig access" 
 [1:1557:19] "SERVER-WEBAPP DCShop auth_user_file.txt access" 
 [1:1555:19] "SERVER-WEBAPP DCShop access" 
 [1:1770:10] "SERVER-WEBAPP .FBCIndex access" 
 [1:1769:10] "SERVER-WEBAPP .DS_Store access" 
 [1:1873:12] "SERVER-WEBAPP globals.jsa access" 
 [1:1522:19] "SERVER-WEBAPP ans.pl attempt" 
 [1:1523:17] "SERVER-WEBAPP ans.pl access" 
 [1:1004:19] "SERVER-IIS codebrowser Exair access" 
 [1:895:19] "SERVER-WEBAPP redirect access" 
 [1:2393:14] "SERVER-WEBAPP /_admin access" 
 [1:2276:9] "SERVER-WEBAPP oracle portal demo access" 
 [1:2295:17] "SERVER-WEBAPP Advanced Poll admin_settings.php access" 
 [1:1671:14] "SERVER-WEBAPP /home/www access" 
 [1:2363:14] "SERVER-WEBAPP Cyboards default_header.php access" 
 [1:1399:23] "SERVER-WEBAPP PHP-Nuke remote file include attempt" 
 [1:1091:18] "SERVER-WEBAPP ICQ Webfront HTTP DOS" 
 [1:2285:14] "SERVER-WEBAPP rolis guestbook access" 
 [1:2140:9] "SERVER-WEBAPP p-news.php access" 
 [1:2410:14] "SERVER-WEBAPP IGeneric Free Shopping Cart page.php access" 
 [1:886:28] "SERVER-WEBAPP phf access" 
 [1:2281:15] "SERVER-WEBAPP Setup.php access" 
 [1:2288:17] "SERVER-WEBAPP Advanced Poll admin_edit.php access" 
 [1:2298:17] "SERVER-WEBAPP Advanced Poll admin_templates.php access" 
 [1:1254:16] "SERVER-WEBAPP PHPLIB remote command attempt" 
 [1:43285:2] "SERVER-WEBAPP /.svn/entries file access attempt" 
Nº de alertas totales: 1761
Nº alertas = 111
 [1:2002677:14] ET SCAN Nikto Web App Scan in Progress 
 [1:2101071:7] GPL WEB_SERVER .htpasswd access 
 [1:2101242:13] GPL EXPLOIT ISAPI .ida access 
 [1:2027262:3] ET INFO Dotted Quad Host ZIP Request 
 [1:2016141:5] ET INFO Executable Download from dotted-quad Host 
 [1:2101129:7] GPL WEB_SERVER .htaccess access 
 [1:2100987:16] GPL EXPLOIT .htr access 
 [1:2027265:4] ET INFO Dotted Quad Host PDF Request 
 [1:2027250:3] ET INFO Dotted Quad Host DLL Request 
 [1:2018752:11] ET INFO Generic .bin download from Dotted Quad 
 [1:2027263:3] ET INFO Dotted Quad Host GZ Request 
 [1:2101245:12] GPL EXPLOIT ISAPI .idq access 
 [1:2027253:3] ET INFO Dotted Quad Host XLS Request 
 [1:2101145:9] GPL WEB_SERVER /~root access 
 [1:2010766:9] ET POLICY Proxy TRACE Request - inbound 
 [1:2100993:12] GPL WEB_SERVER iisadmin access 
 [1:2101256:10] GPL EXPLOIT CodeRed v2 root.exe access 
 [1:2101016:14] GPL WEB_SERVER global.asa access 
 [1:2019714:8] ET CURRENT_EVENTS Terse alphanumeric executable downloader high likelihood of being hostile 
 [1:2101402:8] GPL EXPLOIT iissamples access 
 [1:2049400:1] ET WEB_SERVER /etc/passwd Detected in URI 
 [1:2009362:6] ET WEB_SERVER /system32/ in Uri - Possible Protected Directory Access Attempt 
 [1:2009361:6] ET WEB_SERVER cmd.exe In URI - Possible Command Execution Attempt 
 [1:2101401:10] GPL EXPLOIT /msadc/samples/ access 
 [1:2030337:2] ET EXPLOIT VMware Spring Cloud Directory Traversal (CVE-2020-5410) 
 [1:2101244:16] GPL EXPLOIT ISAPI .idq attempt 
 [1:2049401:1] ET WEB_SERVER /etc/hosts Detected in URI 
 [1:2011042:3] ET WEB_SERVER MYSQL SELECT CONCAT SQL Injection Attempt 
 [1:2010963:4] ET WEB_SERVER SELECT USER SQL Injection Attempt in URI 
 [1:2006446:11] ET WEB_SERVER Possible SQL Injection Attempt UNION SELECT 
 [1:2006445:12] ET WEB_SERVER Possible SQL Injection Attempt SELECT FROM 
 [1:2009714:9] ET WEB_SERVER Script tag in URI Possible Cross Site Scripting Attempt 
 [1:2019526:5] ET WEB_SERVER WEB-PHP phpinfo access 
 [1:2101877:9] GPL WEB_SERVER printenv access 
 [1:2101108:12] GPL WEB_SERVER Tomcat server snoop access 
 [1:2016184:3] ET WEB_SERVER ColdFusion administrator access 
 [1:2100952:8] GPL WEB_SERVER author.exe access 
 [1:2100977:15] GPL EXPLOIT .cnf access 
 [1:2100958:11] GPL WEB_SERVER service.cnf access 
 [1:2100961:11] GPL WEB_SERVER services.cnf access 
 [1:2100965:11] GPL WEB_SERVER writeto.cnf access 
 [1:2011141:4] ET WEB_SERVER PHP Easteregg Information-Disclosure (phpinfo) 
 [1:2011144:4] ET WEB_SERVER PHP Easteregg Information-Disclosure (funny-logo) 
 [1:2011142:4] ET WEB_SERVER PHP Easteregg Information-Disclosure (php-logo) 
 [1:2011143:4] ET WEB_SERVER PHP Easteregg Information-Disclosure (zend-logo) 
 [1:2021390:1] ET WEB_SPECIFIC_APPS WEB-PHP RCE PHPBB 2004-1315 
 [1:2101201:12] GPL WEB_SERVER 403 Forbidden 
 [1:2101013:11] GPL EXPLOIT fpcount access 
 [1:2101487:12] GPL EXPLOIT /iisadmpwd/aexp2.htr access 
 [1:2101018:12] GPL EXPLOIT iisadmpwd attempt 
 [1:2009485:7] ET WEB_SERVER /etc/shadow Detected in URI 
 [1:2102073:5] GPL WEB_SERVER globals.pl access 
 [1:2049402:1] ET WEB_SERVER .bash_history Detected in URI 
 [1:2101874:4] GPL WEB_SERVER Oracle Java Process Manager access 
 [1:2100953:9] GPL EXPLOIT administrators.pwd access 
 [1:2100951:12] GPL WEB_SERVER authors.pwd access 
 [1:2100959:8] GPL WEB_SERVER service.pwd 
 [1:2100981:14] GPL EXPLOIT unicode directory traversal attempt 
 [1:2100982:12] GPL EXPLOIT unicode directory traversal attempt 
 [1:2101403:11] GPL WEB_SERVER viewcode access 
 [1:2016182:4] ET WEB_SERVER ColdFusion componentutils access 
 [1:2011696:3] ET WEB_SPECIFIC_APPS Possible JBoss JMX Console Beanshell Deployer WAR Upload and Deployment Exploit Attempt 
 [1:2011564:2] ET WEB_SPECIFIC_APPS PHP Classifieds class.phpmailer.php lang_path Parameter Remote File Inclusion Attempt 
 [1:2009317:4] ET WEB_SPECIFIC_APPS DesktopOnNet don3_requiem.php app_path Parameter Remote File Inclusion 
 [1:2009318:4] ET WEB_SPECIFIC_APPS DesktopOnNet frontpage.php app_path Parameter Remote File Inclusion 
 [1:2010920:10] ET WEB_SERVER Exploit Suspected PHP Injection Attack (cmd=) 
 [1:2009931:4] ET WEB_SPECIFIC_APPS Possible OpenSiteAdmin pageHeader.php Remote File Inclusion Attempt 
 [1:2010475:3] ET WEB_SPECIFIC_APPS KR-Web krgourl.php DOCUMENT_ROOT Parameter Remote File Inclusion Attempt 
 [1:2012795:2] ET WEB_SPECIFIC_APPS Golem Gaming Portal root_path Parameter Remote File inclusion Attempt 
 [1:2009384:5] ET WEB_SPECIFIC_APPS Joomla Dada Mail Manager Component config.dadamail.php GLOBALS Parameter Remote File Inclusion 
 [1:2009391:5] ET WEB_SPECIFIC_APPS Joomla Onguma Time Sheet Component onguma.class.php mosConfig_absolute_path Parameter Remote File Inclusion 
 [1:2009369:5] ET WEB_SPECIFIC_APPS Joomla Simple RSS Reader admin.rssreader.php mosConfig_live_site Parameter Remote File Inclusion 
 [1:2012369:2] ET WEB_SPECIFIC_APPS Joomla swMenuPro ImageManager.php Remote File Inclusion Attempt 
 [1:2002879:7] ET WEB_SPECIFIC_APPS PHP phpMyAgenda rootagenda Remote File Include Attempt 
 [1:2010485:3] ET WEB_SPECIFIC_APPS phptraverse mp3_id.php GLOBALS Parameter Remote File Inclusion Attempt 
 [1:2008897:5] ET WEB_SPECIFIC_APPS MODx CMS snippet.reflect.php reflect_base Remote File Inclusion 
 [1:2017442:1] ET WEB_SERVER PHP ENV SuperGlobal in URI 
 [1:2010260:3] ET WEB_SPECIFIC_APPS Joomla AjaxChat Component ajcuser.php GLOBALS Parameter Remote File Inclusion Attempt 
 [1:2009933:4] ET WEB_SPECIFIC_APPS Possible Mambo/Joomla! com_koesubmit Component 'koesubmit.php' Remote File Inclusion Attempt 
 [1:2012013:2] ET WEB_SPECIFIC_APPS Mambo Component com_smf smf.php Remote File Inclusion Attempt 
