Fichero PCAP,Nº de Flujos con Ataque NO DETECTADOS,Nº Flujos con Ataque en el PCAP,Nº Alertas IPS (Ataque) generadas (Attackids),Attackids de Alertas IPS generadas,Nº Alertas APP-CTRL generadas (Appid),Nº Flujos con Ataque Detectados por IPS,Nº Flujos con Ataque Detectados por APP-CTRL,Nº Flujos con Ataque Detectados Totales,Alerta Identificada (Ataque) que NO está saltando,Categoría del Ataque,Explicación
T1090-Proxy_internal_proxy_[4].pcapng,1,1,1,52169,4,0,0,0,,L1,"La/s alerta/s generadas hacen referencia a ataques colaterales, no al ataque principal"
T1095-Non_Application_Layer_[3].pcapng,1,1,1,52676,1,0,0,0,,L1,"La/s alerta/s generadas hacen referencia a ataques colaterales, no al ataque principal"
T1110.001-FTP-C2018_[6].pcapng,190300,190300,0,-,0,0,0,0,FTP.Login.Brute.Force,L1,
T1110-Wps_[1].pcapng,1,1,0,-,0,0,0,0,,L1,
T1110-pmkid_[1].pcapng,1,1,0,-,0,0,0,0,,L1,
T1110-Ptw_korek_[1].pcapng,1,1,0,-,0,0,0,0,,L1,
T1110-Diccionario_[1].pcapng,1,1,0,-,0,0,0,0,,L1,
T1112-Modify_registry_[4].pcapng,1,1,0,-,6,0,0,0,,L2,
T1114-Email_collection_remote_email_collection_[4].pcapng,3,3,0,-,5,0,0,0,,L2,
T1132.001-Standard_Encoding_[5].pcapng,5,5,0,-,3,0,0,0,,L1,
T1133-External_remote_services_[4].pcapng,1,1,0,-,7,0,0,0,,L2,
T1176-Browser-extension_[4].pcapng,212,212,0,-,3,0,0,0,,L1,
T1187-Forced_Authentication_[5].pcapng,1,1,0,-,3,0,0,0,,L1,
T1187-Forced_Authentication2_[5].pcapng,1,1,0,-,2,0,0,0,,L1,
T1189-Drive-by_compromise_v2_[4].pcapng,1,1,0,-,1,0,0,0,,L1,
T1197-BITS_Jobs_[5].pcapng,9,9,0,-,9,0,0,0,,L1,
T1199-Trusted_relationship_[4].pcapng,2,2,0,-,4,0,0,0,,L2,
T1200-Hardware_Additions_[5].pcapng,1,1,0,-,3,0,0,0,,L1,
T1203-C2018_[6].pcapng,116,116,0,-,1,0,0,0,,L1,
T1204.001-malicious_link_[3].pcapng,1,1,0,-,0,0,0,0,,L1,
T1205.001-Port_Knocking_[3].pcapng,1,1,0,-,1,0,0,0,,L1,
T1210-Web_attack-C2018_[6].pcapng,1,1,0,-,1,0,0,0,,L1,
T1213-SQL_inyection_[3].pcapng,1,1,0,-,1,0,0,0,URI.SQL.Injection,L1,
T1218.010-COM_Scriptlet_[2].pcapng,1,1,0,-,2,0,0,0,,L1,
T1221-Template_Injection_[5].pcapng,1,1,0,-,6,0,0,0,,L2,
T1482-Domain_trust_discovery_[4].pcapng,1,1,0,-,3,0,0,0,,L2,
T1491.001-Internal_Defacement_[5].pcapng,1,1,0,-,4,0,0,0,,L2,
T1496-Cryptomining_[2].pcapng,1,1,0,-,5,0,0,0,,L1,
T1498-Tcbpdu_[1].pcapng,1,1,0,-,0,0,0,0,,L1,
T1498.001-MAC_table_flood_[3].pcapng,21711,21711,0,-,1,0,0,0,,L1,
T1498.001-UDP_flood_1-C2018_[6].pcapng,110,110,0,-,6,0,0,0,,L1,
T1498.001-UDP_flood_2-C2018_[6].pcapng,1473,1473,0,-,1,0,0,0,,L1,
T1498.001-HTTP_flood-C2018_[6].pcapng,29179,29179,0,-,1,0,0,0,,L1,
T1498.001-TCP_flood-C2018_[6].pcapng,536494,536494,0,-,6,0,0,0,,L1,
T1498.001-UDP_flood_[2].pcapng,1,1,0,-,1,0,0,0,,L1,
T1498-Amplif_dns_[1].pcapng,5173,5173,1,48370,2,0,0,0,DNS.Amplification.Detection,L1,"La/s alerta/s generadas hacen referencia a ataques colaterales, no al ataque principal"
T1498-Fraggle_[1].pcapng,1,1,0,-,1,0,0,0,,L1,
T1498-Smurf_[1].pcapng,1,1,0,-,2,0,0,0,,L1,
T1499.001-OS_Exhaustion_Flood_[3].pcapng,150,150,0,-,6,0,0,0,Slowloris.DoS,L1,
T1499-Syn_suplantacion_[1].pcapng,2332,2332,0,-,0,0,0,0,,L1,
T1499-Land_[1].pcapng,1,1,0,-,0,0,0,0,IP.Land,L1,
T1499-Reseteo_[1].pcapng,1,1,0,-,1,0,0,0,,L1,
T1499-Dhcp_flood_[1].pcapng,1,1,0,-,2,0,0,0,,L1,
T1499-Reflexion_synack_[1].pcapng,952,952,0,-,0,0,0,0,,L1,
T1499.02-Slowhttptest-C2018_[6].pcapng,10550,10550,0,-,0,0,0,0,SlowHTTPTest.Http.Request.DoS,L1,
T1499.02-Slowloris-C2018_[6].pcapng,6629,6979,1,17533,1,350,0,350,Slowloris.DoS,L1,
T1499.03-Hulk-C2018_[6].pcapng,44878,44878,0,-,4,0,0,0,,L1,
T1499.03-GoldenEye-C2018_[6].pcapng,27772,27772,0,-,5,0,0,0,,L1,
T1499-Mac_spoof_[1].pcapng,1,1,0,-,1,0,0,0,,L1,
T1505.005-Shell_Web_[2].pcapng,1,1,0,-,1,0,0,0,,L1,
T1534-Internal_spearphishing_[4].pcapng,1,1,0,-,4,0,0,0,,L2,
T1542.005-TFTP_Boot_[5].pcapng,1,1,0,-,9,0,0,0,,L1,
T1543.003-CreateSystemProcessWindowsService_[5].pcapng,1,1,0,-,1,0,0,0,,L1,
T1557-Puente_raiz_[1].pcapng,1,1,0,-,1,0,0,0,,L1,
T1557-Redireccion_[1].pcapng,1,1,0,-,2,0,0,0,,L1,
T1557.002-ARP_poisoning1_[2].pcapng,1,1,0,-,1,0,0,0,,L1,
T1557.002-ARP_poisoning2_[3].pcapng,1,1,0,-,0,0,0,0,,L1,
T1557-Arp_spoof_[1].pcapng,1,1,0,-,1,0,0,0,,L1,
T1557-Hole196_[1].pcapng,1,1,0,-,2,0,0,0,,L1,
T1557-Dhcp_spoofing_[1].pcapng,1,1,0,-,4,0,0,0,,L1,
T1563.002-RDPHijacking_[5].pcapng,2,2,0,-,3,0,0,0,,L1,
T1566.002-Spearphishing_Link_[5].pcapng,1,1,0,-,6,0,0,0,,L1,
T1567.002-Exfiltration_To_Cloud_Storage_[5].pcapng,1,1,0,-,5,0,0,0,,L2,
T1568-fastFluxDNS_[5].pcapng,123,123,0,-,5,0,0,0,DNS.Fast.Flux,L1,
T1570-Lateral_Tool_Transfer_[5].pcapng,1,1,1,12449,0,0,0,0,,L2,
T1571-SSH_[2].pcapng,1,1,0,-,1,0,0,0,,L2,
T1572-Protocol_Tunneling_[5].pcapng,1,1,1,12449,1,0,0,0,,L2,"La/s alerta/s generadas hacen referencia a ataques colaterales, no al ataque principal"
T1584-Cache_dns_[1].pcapng,1,1,0,-,2,0,0,0,,L1,
T1584-Secuestro_dns_[1].pcapng,1,1,0,-,2,0,0,0,,L1,
T1584.005-C2018_[6].pcapng,81521,81521,0,-,11,0,0,0,,L1,
T1585.001-Establish_social_accounts_[4].pcapng,1,1,0,-,1,0,0,0,,L2,
T1586.001-Compromise_Accounts_[2].pcapng,6798,6951,1,12648,1,153,0,153,,L1,
T1589.002-Gather_victim_identity_information_[4].pcapng,1,1,0,-,1,0,0,0,,L2,
T1595.002-Port_Scanning_[3].pcapng,2030,2049,2,"43814, 45360",13,19,0,19,,L1,
T1595.003-Web_page_scanning1_[2].pcapng,181,181,0,-,1,0,0,0,,L1,
T1595.003-Web_page_scanning2_[3].pcapng,384,385,1,12648,1,1,0,1,,L1,
T1598.003-Spearphishing_Link_[5].pcapng,2,2,0,-,6,0,0,0,,L1,
T1599-Salto_vlan_[1].pcapng,1,1,0,-,0,0,0,0,,L1,
T1599-NBB1_[5].pcapng,1,1,0,-,2,0,0,0,,L2,
T1599-NBB2_[5].pcapng,1,1,0,-,1,0,0,0,,L2,
T1602.001-MIB_Dump_[2].pcapng,1,1,0,-,2,0,0,0,,L2,
T1612-BuildImageOnHostLocal_[5].pcapng,1,1,0,-,1,0,0,0,,L2,
T1615-Group_Policy_Discovery_[5].pcapng,41,41,0,-,4,0,0,0,,L2,
T1659-Content_Injection_[5].pcapng,2,2,0,-,9,0,0,0,,L1,
T1659_Inyeccion_[1].pcapng,1,1,0,-,2,0,0,0,,L1,
T1665-Hide_Infrastructure_[5].pcapng,1,1,1,12449,7,0,0,0,,L1,"La/s alerta/s generadas hacen referencia a ataques colaterales, no al ataque principal"
