Fichero PCAP,Nº Flujos con Ataque en el PCAP,Nº Alertas IPS (Ataque) generadas,Nº Flujos con Ataque Detectados (Principales) IPS,¿Alerta de firmas de aplicación?,Alerta Identificada que NO está saltando,Categoría del Ataque
T1203-C2018_[6].pcapng,116,345,0,-,-,L1
T1204.001-malicious_link_[3].pcapng,1,-,0,-,-,L1
T1205.001-Port_Knocking_[3].pcapng,1,1,0,-,-,L1
T1213-SQL_inyection_[3].pcapng,1,2,0,-,-,L1
T1218.010-COM_Scriptlet_[2].pcapng,1,1,0,-,-,L1
T1221-Template_Injection_[5].pcapng,1,6,0,-,-,L2
T1482-Domain_trust_discovery_[4].pcapng,1,1,0,-,-,L2
T1491.001-Internal_Defacement_[5].pcapng,1,-,0,-,-,L2
T1498-Tcbpdu_[1].pcapng,1,-,0,-,-,L1
T1498.001-MAC_table_flood_[3].pcapng,21711,-,0,-,-,L1
T1498.001-UDP_flood_1-C2018_[6].pcapng,110,-,0,,-,L1
T1498.001-UDP_flood_2-C2018_[6].pcapng,1473,-,0,,-,L1
T1498.001-UDP_flood_[2].pcapng,1,-,0,,-,L1
T1498-Fraggle_[1].pcapng,1,1,0,-,-,L1
T1498-Smurf_[1].pcapng,1,-,0,-,-,L1
T1499-Syn_suplantacion_[1].pcapng,2332,-,0,-,-,L1
T1499-Land_[1].pcapng,1,-,0,-,-,L1
T1499-Reseteo_[1].pcapng,1,-,0,-,-,L1
T1499-Dhcp_flood_[1].pcapng,1,-,0,-,-,L1
T1499-Reflexion_synack_[1].pcapng,952,-,0,-,-,L1
T1499.02-Slowhttptest-C2018_[6].pcapng,10550,-,0,-,-,L1
T1499-Mac_spoof_[1].pcapng,1,-,0,-,-,L1
T1534-Internal_spearphishing_[4].pcapng,1,-,0,smtp-base -- email,-,L2
T1537-Transfer_Data_to_Cloud_Account_[5].pcapng,2,17,0,ms-onedrive-business -- file sharing,-,L2
T1542.005-TFTP_Boot_[5].pcapng,1,3,0,tftp -- file sharing,-,L1
T1543.003-CreateSystemProcessWindowsService_[5].pcapng,1,-,0,-,-,L1
T1557-Puente_raiz_[1].pcapng,1,-,0,-,-,L1
T1557-Redireccion_[1].pcapng,1,-,0,-,-,L1
T1557.002-ARP_poisoning1_[2].pcapng,1,-,0,-,-,L1
T1557.002-ARP_poisoning2_[3].pcapng,1,-,0,-,-,L1
T1557-Arp_spoof_[1].pcapng,1,-,0,-,-,L1
T1557-Hole196_[1].pcapng,1,-,0,-,-,L1
T1557-Dhcp_spoofing_[1].pcapng,1,-,0,-,-,L1
T1563.002-RDPHijacking_[5].pcapng,2,-,0,-,-,L1
T1565.001-SQL_inyection_[3].pcapng,1,-,0,-,-,L1
T1566.001-C2018_[6].pcapng,1,2,0,-,-,L1
T1566.002-Spearphishing_Link_[5].pcapng,1,1,0,-,-,L1
T1567.002-Exfiltration_To_Cloud_Storage_[5].pcapng,1,4,0,google-drive-web-base -- file sharing,-,L2
T1568-fastFluxDNS_[5].pcapng,123,17,0,-,-,L1
T1570-Lateral_Tool_Transfer_[5].pcapng,1,-,0,-,-,L2
T1573.002_AssymetricCryptography_[5].pcapng,1,-,0,-,-,L1
T1584-Cache_dns_[1].pcapng,1,-,0,-,-,L1
T1584-Secuestro_dns_[1].pcapng,1,-,0,-,-,L1
T1584.005-C2018_[6].pcapng,81521,66,0,vimeo-base -- photo video / ms-rdp -- remote access /,-,L1
T1585.001-Establish_social_accounts_[4].pcapng,1,248,0,-,-,L2
T1598.003-Spearphishing_Link_[5].pcapng,2,5,0,-,-,L1
T1599-Salto_vlan_[1].pcapng,1,-,0,-,-,L1
T1599-NBB1_[5].pcapng,1,2,0,-,-,L2
T1599-NBB2_[5].pcapng,1,1,0,-,-,L2
T1615-Group_Policy_Discovery_[5].pcapng,41,-,0,-,-,L2
T1659-Content_Injection_[5].pcapng,2,4,0,-,-,L1
T1659_Inyeccion_[1].pcapng,1,-,0,-,-,L1
T1665-Hide_Infrastructure_[5].pcapng,1,9,0,-,-,L1
