TÁCTICA;Técnica;ID;Táctica Adicional;Implementada;Subtécnica;ID;Técnicas Adicionales;Detectable por Red;Sólo Detectable por Red;Detectable mediante patrones;Mecanismo de detección;Implementada
Reconnaissance;Search Open Technical Databases;T1596;-;SI;CDNs;T1596.004;-;NO;NO;-;-;NO
Reconnaissance;Search Open Technical Databases;T1596;-;SI;Scan Databases;T1596.005;-;NO;NO;-;-;NO
Reconnaissance;Search Open Websites/Domains;T1593;-;NO;Social Media;T1593.001;-;NO;NO;-;-;NO
Reconnaissance;Search Open Websites/Domains;T1593;-;NO;Search Engines;T1593.002;-;NO;NO;-;-;NO
Reconnaissance;Search Open Websites/Domains;T1593;-;NO;Code Repositories;T1593.003;-;NO;NO;-;-;NO
Reconnaissance;Search Victim-Owned Websites;T1594;-;NO;-;-;-;NO;NO;-;-;NO
Resource Development;Acquire Access;T1650;-;NO;-;-;-;NO;NO;-;-;NO
Resource Development;Acquire Infrastucture;T1583;-;NO;Domains;T1583.001;-;NO;NO;-;-;NO
Resource Development;Acquire Infrastucture;T1583;-;NO;DNS Server;T1583.002;-;NO;NO;-;-;NO
Resource Development;Acquire Infrastucture;T1583;-;NO;Virtual Private Server;T1583.003;-;NO;NO;-;-;NO
Resource Development;Acquire Infrastucture;T1583;-;NO;Server;T1583.004;-;NO;NO;-;-;NO
Resource Development;Acquire Infrastucture;T1583;-;NO;Botnet;T1583.005;-;NO;NO;-;-;NO
Resource Development;Acquire Infrastucture;T1583;-;NO;Web Services;T1583.006;-;NO;NO;-;-;NO
Resource Development;Acquire Infrastucture;T1583;-;NO;Serverless;T1583.007;-;NO;NO;-;-;NO
Resource Development;Acquire Infrastucture;T1583;-;NO;Malvertising;T1583.008;-;NO;NO;-;-;NO
Resource Development;Compromise Accounts;T1586;-;SI;Social Media Accounts;T1586.001;-;SI;NO;SI;Regla genérica que detecte el envío de una contraseña sobre el cuerpo de una petición HTTP POST.;SI
Resource Development;Compromise Accounts;T1586;-;SI;Email Accounts;T1586.002;-;NO;NO;-;-;NO
Resource Development;Compromise Accounts;T1586;-;SI;Cloud Accounts;T1586.003;-;NO;NO;-;-;NO
Resource Development;Compromise Infrastructure;T1584;-;NO;Domains;T1584.001;-;NO;NO;-;-;NO
Resource Development;Compromise Infrastructure;T1584;-;NO;DNS Server;T1584.002;-;NO;NO;NO;Una vez el servidor DNS se encuentra comprometido, no es posible determinar si las redirecciones basadas en una caché envenenada son maliciosas o no;SI
Resource Development;Compromise Infrastructure;T1584;-;NO;Virtual Private Server;T1584.003;-;NO;NO;-;-;NO
Resource Development;Compromise Infrastructure;T1584;-;NO;Server;T1584.004;-;NO;NO;-;-;NO
Resource Development;Compromise Infrastructure;T1584;-;NO;Botnet;T1584.005;-;NO;NO;NO;La detección debe centrarse en otras fases del ciclo de vida de un ataque, como Phishing, DDoS...;SI
Resource Development;Compromise Infrastructure;T1584;-;NO;Web Services;T1584.006;-;NO;NO;-;-;NO
Resource Development;Compromise Infrastructure;T1584;-;NO;Serverless;T1584.007;-;NO;NO;-;-;NO
Resource Development;Compromise Infrastructure;T1584;-;NO;Network Devices;T1584.008;-;NO;NO;-;-;NO
Resource Development;Develop Capabilities;T1587;-;NO;Malware;T1587.001;-;NO;NO;-;-;NO
Resource Development;Develop Capabilities;T1587;-;NO;Code Signing Certificates;T1587.002;-;NO;NO;-;-;NO
Resource Development;Develop Capabilities;T1587;-;NO;Digital Certificates;T1587.003;-;NO;NO;-;-;NO
Resource Development;Develop Capabilities;T1587;-;NO;Exploits;T1587.004;-;NO;NO;-;-;NO
Resource Development;Establish Accounts;T1585;-;SI;Social Media Accounts;T1585.001;-;SI;NO;NO;Siempre y cuando el origen sea la red a proteger, detección por anomalías que identifique un incipiente aumento de las peticiones a servidores de redes sociales.;SI
Resource Development;Establish Accounts;T1585;-;SI;Email Accounts;T1585.002;-;NO;NO;-;-;NO
Resource Development;Establish Accounts;T1585;-;SI;Cloud Accounts;T1585.003;-;NO;NO;-;-;NO
Resource Development;Obtain Capabilities;T1588;-;NO;Malware;T1588.001;-;NO;NO;-;-;NO
Resource Development;Obtain Capabilities;T1588;-;NO;Tool;T1588.002;-;NO;NO;-;-;NO
Resource Development;Obtain Capabilities;T1588;-;NO;Code Signing Certificates;T1588.003;-;NO;NO;-;-;NO
Resource Development;Obtain Capabilities;T1588;-;NO;Digital Certificates;T1588.004;-;NO;NO;-;-;NO
Resource Development;Obtain Capabilities;T1588;-;NO;Exploits;T1588.005;-;NO;NO;-;-;NO
Resource Development;Obtain Capabilities;T1588;-;NO;Vulnerabilities;T1588.006;-;NO;NO;-;-;NO
Resource Development;Obtain Capabilities;T1588;-;NO;Artificial Intelligence;T1588.007;-;NO;NO;-;-;NO
Resource Development;Stage Capabilities;T1608;-;NO;Upload Malware;T1608.001;-;NO;NO;-;-;NO
Resource Development;Stage Capabilities;T1608;-;NO;Upload Tool;T1608.002;-;NO;NO;-;-;NO
Resource Development;Stage Capabilities;T1608;-;NO;Install Digital Certificate;T1608.003;-;NO;NO;-;-;NO
Resource Development;Stage Capabilities;T1608;-;NO;Drive-by Target;T1608.004;-;NO;NO;-;-;NO
Resource Development;Stage Capabilities;T1608;-;NO;Link Target;T1608.005;-;NO;NO;-;-;NO
Resource Development;Stage Capabilities;T1608;-;NO;SEO Poisoning;T1608.006;-;NO;NO;-;-;NO
Initial Access;Content Injection;T1659;Command and Control;SI;-;-;-;SI;NO;NO, salvo circunstancias concretas del ataque;La detección de esta técnica será más o menos viales dependiendo del objetivo y método del atacante. Si el ataque se realiza en conjunto con protocolos de gestion(DHCP) dificultará la detección. Resultará necesario monitorizar por la distribución a traves del tráfico de red de archivos malware;SI
Initial Access;Drive-by Compromise;T1189;-;SI;-;-;-;SI;NO;NO, salvo circunstancias concretas del ataque;La detección de esta técnica será más o menos viable dependiendo del objetivo y método del atacante. Si el foco está fijado en la obtención de credenciales, si el ataque está elaborado resulta prácticamente imposible su detección. En caso de que se busque un acceso a la red de manera directa mediante ejecutables y/o malware, el tipo de contenido marcará su grado de detección.;SI
Initial Access;Exploit Public-Facing Application;T1190;-;SI;-;-;-;SI;NO;SI;Regla que detecte un posible intento al esquema de informacion de un servidor MySQL. Regla que detecte una sentencia SQL pudiendose tratar de una posible inyeccion SQL. Regla que detecte posible escaneo de vulnerabilidades de inyeccion SQL.;SI
Initial Access;External Remote Services;T1133;Persistence;SI;-;-;-;SI;NO;NO, salvo circunstancias concretas y reglas personalizadas;"Existen varias variantes.
 Circunstancias concretas del ataque: el atacante realiza algún ataque posterior una vez ha logrado acceder a la red (no aplicable a esta técnica) como un escaneo de red o mensajes de anuncio de Host.
 Reglas personalizadas: regla que compruebe si las direcciones IP involucradas en los paquetes se corresponden con las autorizadas dentro de la red VPN (debe ser configurada manualmente).
";SI
Initial Access;Hardware Additions;T1200;-;SI;-;-;-;SI;NO;NO;Detección por anomalías que identifique desviaciones en el tráfico de red, tales como metadatos o protocolos de gestión (DHCP,...) fuera de los habituales;SI
Initial Access;Phishing;T1566;-;SI;Spearphishing Attachment;T1566.001;-;SI;NO;NO;Detección por listas negras/anomalías que permitan detectar tráfico de red correspondiente a correos electrónicos con archivos adjuntos maliciosos;SI
Initial Access;Phishing;T1566;-;SI;Spearphishing Link;T1566.002;-;SI;NO;NO, salvo circunstancias concretas;Detección por listas negras/anomalías que permitan detectar tráfico de red correspondiente a correos electrónicos con enlaces maliciosos que contengan contenido malware;SI
Initial Access;Phishing;T1566;-;SI;Spearphishing via Service;T1566.003;-;SI;NO;NO;-;NO
Initial Access;Phishing;T1566;-;SI;Spearphishing Voice;T1566.004;-;SI;NO;NO;-;NO
Initial Access;Replication Through Removable Media;T1091;Initial Access;NO;-;-;-;NO;NO;-;-;NO
Initial Access;Supply Chain Compromise;T1195;-;NO;Compromise Software Dependencies and Development Tools;T1195.001;-;NO;NO;-;-;NO
Initial Access;Supply Chain Compromise;T1195;-;NO;Compromise Software Supply Chain;T1195.002;-;NO;NO;-;-;NO
Initial Access;Supply Chain Compromise;T1195;-;NO;Compromise Hardware Supply Chain;T1195.003;-;NO;NO;-;-;NO
Initial Access;Trusted Relationship;T1199;-;SI;-;-;-;SI;NO;SI*;El ataque tiene un matiz clave. Si bien el ataque puede ser detectado por Snort (existen muchas variantes, aunque para esta instancia concreta, por ejemplo, sí que existe mecanismo de detección), el hecho de que se trate de un ataque procedente de un dominio de confianza infectado, dificulta su detección, pues bloquear estos paquetes podría imposibilitar comunicación con el dominio de confianza si no existiera amenaza;SI
Initial Access;Valid Accounts;T1078;Defense Evasion,Persistence,Privilege Escalation;NO;Default Accounts;T1078.001;-;NO;NO;-;-;NO
Initial Access;Valid Accounts;T1078;Defense Evasion,Persistence,Privilege Escalation;NO;Domain Accounts;T1078.002;-;NO;NO;-;-;NO
Initial Access;Valid Accounts;T1078;Defense Evasion,Persistence,Privilege Escalation;NO;Local Accounts;T1078.003;-;NO;NO;-;-;NO
Initial Access;Valid Accounts;T1078;Defense Evasion,Persistence,Privilege Escalation;NO;Cloud Accounts;T1078.004;-;NO;NO;-;-;NO
Execution;Cloud Administration Command;T1651;-;NO;-;-;-;NO;NO;-;-;NO
Execution;Command and Scripting Interpreter;T1059;-;NO;Powershell;T1059.001;-;NO;NO;-;-;NO
Execution;Command and Scripting Interpreter;T1059;-;NO;AppleScript;T1059.002;-;NO;NO;-;-;NO
Execution;Command and Scripting Interpreter;T1059;-;NO;Windows Command Shell;T1059.003;-;NO;NO;-;-;NO
Execution;Command and Scripting Interpreter;T1059;-;NO;Unix Shell;T1059.004;-;NO;NO;-;-;NO
Execution;Command and Scripting Interpreter;T1059;-;NO;Visual Basic;T1059.005;-;NO;NO;-;-;NO
Execution;Command and Scripting Interpreter;T1059;-;NO;Python;T1059.006;-;NO;NO;-;-;NO
Execution;Command and Scripting Interpreter;T1059;-;NO;Javascript;T1059.007;-;NO;NO;-;-;NO
Execution;Command and Scripting Interpreter;T1059;-;NO;Network Device CLI;T1059.008;-;NO;NO;-;-;NO
Execution;Command and Scripting Interpreter;T1059;-;NO;Cloud API;T1059.009;-;NO;NO;-;-;NO
Execution;Command and Scripting Interpreter;T1059;-;NO;AutoHotKey & AutoIT;T1059.010;-;NO;NO;-;-;NO
Execution;Container Administration Command;T169;-;NO;-;-;-;NO;NO;-;-;NO
Execution;Deploy Container;T1610;Defense Evasion;NO;-;-;-;NO;NO;-;-;NO
Execution;Exploitation for Client Execution;T1203;-;SI;-;-;-;NO;NO;NO;-;SI
Execution;Inter-Process Communication;T1559;-;NO;Component Object Model;T1559.001;-;NO;NO;-;-;NO
Execution;Inter-Process Communication;T1559;-;NO;Dynamic Data Exchange;T1559.002;-;NO;NO;-;-;NO
Execution;Inter-Process Communication;T1559;-;NO;XPC Services;T1559.003;-;NO;NO;-;-;NO
Execution;Native API;T1106;-;NO;-;-;-;NO;NO;-;-;NO
Execution;Scheduled Task/Job;T1053;Persistence, Privilege Escalation;NO;At;T1053.002;-;SI;NO;-;-;NO
Execution;Scheduled Task/Job;T1053;Persistence, Privilege Escalation;NO;Cron;T1053.003;-;NO;NO;-;-;NO
Execution;Scheduled Task/Job;T1053;Persistence, Privilege Escalation;NO;Scheduled Task;T1053.005;-;SI;NO;-;-;NO
Execution;Scheduled Task/Job;T1053;Persistence, Privilege Escalation;NO;Systemd Timers;T1053.006;-;NO;NO;-;-;NO
Execution;Scheduled Task/Job;T1053;Persistence, Privilege Escalation;NO;Container Orchestration Job;T1053.007;-;NO;NO;-;-;NO
Execution;Serverless Execution;T1649;-;NO;-;-;-;NO;NO;-;-;NO
Execution;Shared Modules;T1129;-;NO;-;-;-;NO;NO;-;-;NO
Execution;Software Development Tools;T1072;Lateral Movement;NO;-;-;-;NO;NO;-;-;NO
Execution;System Services;T1569;-;SI;Launchctl;T1569.001;-;NO;NO;-;-;NO
Execution;System Services;T1569;-;SI;Service Execution;T1569.002;-;SI;NO;SI;"Múltiples reglas de detección. Por ejemplo,
 Regla que detecte la cadena “PSEXESVC” en el contenido de mensajes SMBv2
 Regla que detecte archivos ejecutables en mensajes SMB
";SI
Execution;User Execution;T1204;-;SI;Malicious Link;T1204.001;-;SI;NO;NO;Deteccion por listas negras/anomalías;SI
Execution;User Execution;T1204;-;SI;Malicous File;T1204.002;-;NO;NO;-;-;NO
Execution;User Execution;T1204;-;SI;Malicious Image;T1204.003;-;NO;NO;-;-;NO
Execution;Windows Management Instrumentation;T1047;-;SI;-;-;-;SI;NO;SI;Regla genérica que detecte intento de ejecucion de código shell en un equipo;SI
Persistence;Account Manipulation;T1098;Privilege Escalation;NO;Additional Cloud Credentials;T1098.001;;NO;NO;-;-;NO
Persistence;Account Manipulation;T1098;Privilege Escalation;NO;Additional Email Delegate Permissions;T1098.002;;NO;NO;-;-;NO
Persistence;Account Manipulation;T1098;Privilege Escalation;NO;Additional Cloud Roles;T1098.003;;NO;NO;-;-;NO
Persistence;Account Manipulation;T1098;Privilege Escalation;NO;SSH Authorized Keys;T1098.004;;NO;NO;-;-;NO
Persistence;Account Manipulation;T1098;Privilege Escalation;NO;Device Registration;T1098.005;;NO;NO;-;-;NO
Persistence;Account Manipulation;T1098;Privilege Escalation;NO;Additional Container Cluster Roles;T1098.006;;NO;NO;-;-;NO
Persistence;BITS Jobs;T1197;Defense Evasion;SI;-;-;-;SI;NO;SI;Regla genérica que detecte mensajes del protocolo BITS;SI
Persistence;Boot or Logon Autostart Execution;T1547;Privilege Escalation;NO;Registry Run Keys / Startup Folder;T1547.001;-;NO;NO;-;-;NO
Persistence;Boot or Logon Autostart Execution;T1547;Privilege Escalation;NO;Authentication Package;T1547.002;-;NO;NO;-;-;NO
Persistence;Boot or Logon Autostart Execution;T1547;Privilege Escalation;NO;Time Providers;T1547.003;-;NO;NO;-;-;NO
Persistence;Boot or Logon Autostart Execution;T1547;Privilege Escalation;NO;Winlogon Helper DLL;T1547.004;-;NO;NO;-;-;NO
Persistence;Boot or Logon Autostart Execution;T1547;Privilege Escalation;NO;Security Support Provider;T1547.005;-;NO;NO;-;-;NO
Persistence;Boot or Logon Autostart Execution;T1547;Privilege Escalation;NO;Kernel Modules and Extensions;T1547.006;-;NO;NO;-;-;NO
Persistence;Boot or Logon Autostart Execution;T1547;Privilege Escalation;NO;Re-opened Applications;T1547.007;-;NO;NO;-;-;NO
Persistence;Boot or Logon Autostart Execution;T1547;Privilege Escalation;NO;LSASS Driver;T1547.008;-;NO;NO;-;-;NO
Persistence;Boot or Logon Autostart Execution;T1547;Privilege Escalation;NO;Shortcut Modification;T1547.009;-;NO;NO;-;-;NO
Persistence;Boot or Logon Autostart Execution;T1547;Privilege Escalation;NO;Port Monitors;T1547.010;-;NO;NO;-;-;NO
Persistence;Boot or Logon Autostart Execution;T1547;Privilege Escalation;NO;Print Processors;T1547.012;-;NO;NO;-;-;NO
Persistence;Boot or Logon Autostart Execution;T1547;Privilege Escalation;NO;XDG Autostart Entries;T1547.013;-;NO;NO;-;-;NO
Persistence;Boot or Logon Autostart Execution;T1547;Privilege Escalation;NO;Active Setup;T1547.014;-;NO;NO;-;-;NO
Persistence;Boot or Logon Autostart Execution;T1547;Privilege Escalation;NO;Login Items;T1547.015;-;NO;NO;-;-;NO
Persistence;Boot or Logon Initialization Scripts;T1037;Privilege Escalation;NO;Logon Script (Windows);T1037.001;-;NO;NO;-;-;NO
Persistence;Boot or Logon Initialization Scripts;T1037;Privilege Escalation;NO;Login Hook;T1037.002;-;NO;NO;-;-;NO
Persistence;Boot or Logon Initialization Scripts;T1037;Privilege Escalation;NO;Network Logon Script;T1037.003;-;NO;NO;-;-;NO
Persistence;Boot or Logon Initialization Scripts;T1037;Privilege Escalation;NO;RC Scripts;T1037.004;-;NO;NO;-;-;NO
Persistence;Boot or Logon Initialization Scripts;T1037;Privilege Escalation;NO;Startup Items;T1037.005;-;NO;NO;-;-;NO
Persistence;Browser Extensions;T1176;-;SI;-;-;-;SI;NO;NO;Detección por anomalías basada en flujos de datos hacia direcciones no relacionadas con las búsquedas, normalmente en formato de objetos JavaScript;SI
Persistence;Compromise Host Software Binary;T1554;-;NO;-;-;-;NO;NO;-;-;NO
Persistence;Create Account;T1136;-;NO;Local Account;T1136.001;-;NO;NO;-;-;NO
Persistence;Create Account;T1136;-;NO;Domain Account;T1136.002;-;NO;NO;-;-;NO
Persistence;Create Account;T1136;-;NO;Cloud Account;T1136.003;-;NO;NO;-;-;NO
Persistence;Create or Modify System Process;T1543;Privilege Escalation;NO;Launch Agent;T1543.001;-;NO;NO;-;-;NO
Persistence;Create or Modify System Process;T1543;Privilege Escalation;NO;Systemd Service;T1543.002;-;NO;NO;-;-;NO
Persistence;Create or Modify System Process;T1543;Privilege Escalation;NO;Windows Service;T1543.003;-;SI;NO;-;-;NO
Persistence;Create or Modify System Process;T1543;Privilege Escalation;NO;Launch Daemon;T1543.004;-;NO;NO;-;-;NO
Persistence;Create or Modify System Process;T1543;Privilege Escalation;NO;Container Service;T1543.005;-;NO;NO;-;-;NO
Persistence;Event Triggered Execution;T1546;Privilege Escalation;NO;Change Default File Association;T1546.001;-;NO;NO;-;-;NO
Persistence;Event Triggered Execution;T1546;Privilege Escalation;NO;Screensaver;T1546.002;-;NO;NO;-;-;NO
Persistence;Event Triggered Execution;T1546;Privilege Escalation;NO;Windows Management Instrumentation Event Subscription;T1546.003;-;NO;NO;-;-;NO
Persistence;Event Triggered Execution;T1546;Privilege Escalation;NO;Unix Shell Configuration Modification;T1546.004;-;NO;NO;-;-;NO
Persistence;Event Triggered Execution;T1546;Privilege Escalation;NO;Trap;T1546.005;-;NO;NO;-;-;NO
Persistence;Event Triggered Execution;T1546;Privilege Escalation;NO;LC_LOAD_DYLIB Addition;T1546.006;-;NO;NO;-;-;NO
Persistence;Event Triggered Execution;T1546;Privilege Escalation;NO;Netsh Helper DLL;T1546.007;-;NO;NO;-;-;NO
Persistence;Event Triggered Execution;T1546;Privilege Escalation;NO;Accessibilty features;T1546.008;-;NO;NO;-;-;NO
Persistence;Event Triggered Execution;T1546;Privilege Escalation;NO;AppCert DLLs;T1546.009;-;NO;NO;-;-;NO
Persistence;Event Triggered Execution;T1546;Privilege Escalation;NO;AppInit DLLs;T1546.010;-;NO;NO;-;-;NO
Persistence;Event Triggered Execution;T1546;Privilege Escalation;NO;Application Shimming;T1546.011;-;NO;NO;-;-;NO
Persistence;Event Triggered Execution;T1546;Privilege Escalation;NO;Image File Execution Options Injection;T1546.012;-;NO;NO;-;-;NO
Persistence;Event Triggered Execution;T1546;Privilege Escalation;NO;Powershell Profile;T1546.013;-;NO;NO;-;-;NO
Persistence;Event Triggered Execution;T1546;Privilege Escalation;NO;Emond;T1546.014;-;NO;NO;-;-;NO
Persistence;Event Triggered Execution;T1546;Privilege Escalation;NO;Component Object Model Hijacking;T1546.015;-;NO;NO;-;-;NO
Persistence;Event Triggered Execution;T1546;Privilege Escalation;NO;Installer Packages;T1546.016;-;NO;NO;-;-;NO
Persistence;External Remote Services;T1133;Initial Access;SI;-;-;-;SI;NO;-;-;SI
Persistence;Hijack Execution Flow;T1574;Defense Evasion, Privilege Escalation;NO;DLL Search Order Hijacking;T1574.001;-;NO;NO;-;-;NO
Persistence;Hijack Execution Flow;T1574;Defense Evasion, Privilege Escalation;NO;DLL Side-Loading;T1574.002;-;NO;NO;-;-;NO
Persistence;Hijack Execution Flow;T1574;Defense Evasion, Privilege Escalation;NO;Dyñib Hijacking;T1574.003;-;NO;NO;-;-;NO
Persistence;Hijack Execution Flow;T1574;Defense Evasion, Privilege Escalation;NO;Executable Installer File Permissions Weakness;T1574.004;-;NO;NO;-;-;NO
Persistence;Hijack Execution Flow;T1574;Defense Evasion, Privilege Escalation;NO;Dynamic Linker Hijacking;T1574.005;-;NO;NO;-;-;NO
Persistence;Hijack Execution Flow;T1574;Defense Evasion, Privilege Escalation;NO;Path Interception by PATH Environment Variable;T1574.006;-;NO;NO;-;-;NO
Persistence;Hijack Execution Flow;T1574;Defense Evasion, Privilege Escalation;NO;Path Interception by Search Order Hijacking;T1574.007;-;NO;NO;-;-;NO
Persistence;Hijack Execution Flow;T1574;Defense Evasion, Privilege Escalation;NO;Path Interception by Unquoted Path;T1574.008;-;NO;NO;-;-;NO
Persistence;Hijack Execution Flow;T1574;Defense Evasion, Privilege Escalation;NO;Services File Permissions Weakness;T1574.009;-;NO;NO;-;-;NO
Persistence;Hijack Execution Flow;T1574;Defense Evasion, Privilege Escalation;NO;Services Registry Permissions Weakness;T1574.010;-;NO;NO;-;-;NO
Persistence;Hijack Execution Flow;T1574;Defense Evasion, Privilege Escalation;NO;COR_PROFILER;T1574.011;-;NO;NO;-;-;NO
Persistence;Hijack Execution Flow;T1574;Defense Evasion, Privilege Escalation;NO;KernelCallbackTable;T1574.012;-;NO;NO;-;-;NO
Persistence;Hijack Execution Flow;T1574;Defense Evasion, Privilege Escalation;NO;AppDomainManager;T1574.013;-;NO;NO;-;-;NO
Persistence;Implant Internal Image;T1525;-;NO;-;-;-;NO;NO;-;-;NO
Persistence;Modify Authentication Process;T1556;Credential Access, Defense Evasion;NO;Domain Controller Authentication;T1556.001;-;NO;NO;-;-;NO
Persistence;Modify Authentication Process;T1556;Credential Access, Defense Evasion;NO;Password Filter DLL;T1556.002;-;NO;NO;-;-;NO
Persistence;Modify Authentication Process;T1556;Credential Access, Defense Evasion;NO;Pluggable Authentication Modules;T1556.003;-;NO;NO;-;-;NO
Persistence;Modify Authentication Process;T1556;Credential Access, Defense Evasion;NO;Network Device Authentication;T1556.004;-;NO;NO;-;-;NO
Persistence;Modify Authentication Process;T1556;Credential Access, Defense Evasion;NO;Reversible Encryption;T1556.005;-;NO;NO;-;-;NO
Persistence;Modify Authentication Process;T1556;Credential Access, Defense Evasion;NO;Multi-Factor Authentication;T1556.006;-;NO;NO;-;-;NO
Persistence;Modify Authentication Process;T1556;Credential Access, Defense Evasion;NO;Hybrid Identity;T1556.007;-;NO;NO;-;-;NO
Persistence;Modify Authentication Process;T1556;Credential Access, Defense Evasion;NO;Network Provider DLL;T1556.008;-;NO;NO;-;-;NO
Persistence;Modify Authentication Process;T1556;Credential Access, Defense Evasion;NO;Conditional Access Policies;T1556.009;-;NO;NO;-;-;NO
Persistence;Office Application Startup;T1137;-;NO;Office Template Macros;T1137.001;-;NO;NO;-;-;NO
Persistence;Office Application Startup;T1137;-;NO;Office Test;T1137.002;-;NO;NO;-;-;NO
Persistence;Office Application Startup;T1137;-;NO;Outlook Forms;T1137.003;-;NO;NO;-;-;NO
Persistence;Office Application Startup;T1137;-;NO;Outlook Home Page;T1137.004;-;NO;NO;-;-;NO
Persistence;Office Application Startup;T1137;-;NO;Outlook Rules;T1137.005;-;NO;NO;-;-;NO
Persistence;Office Application Startup;T1137;-;NO;Add-ins;T1137.006;-;NO;NO;-;-;NO
Persistence;Power Settings;T1653;-;NO;-;-;-;NO;NO;-;-;NO
Persistence;Pre-OS Boot;T1542;Defense Evasion;SI;System Firmware;T1542.001;-;NO;NO;-;-;NO
Persistence;Pre-OS Boot;T1542;Defense Evasion;SI;Component Firmware;T1542.002;-;NO;NO;-;-;NO
Persistence;Pre-OS Boot;T1542;Defense Evasion;SI;Bootkit;T1542.003;-;NO;NO;-;-;NO
Persistence;Pre-OS Boot;T1542;Defense Evasion;SI;ROMMONkit;T1542.004;-;NO;NO;-;-;NO
Persistence;Pre-OS Boot;T1542;Defense Evasion;SI;TFTP Boot;T1542.005;-;SI;NO;NO, salvo uso de reglas personalizadas o circunstancias concretas del ataque;**Regla personalizada que comprueba si la IP del servidor TFTP es la del servidor legítimo ** Que el SO enviado por el atacante contenga algun tipo de malware detectable por un IDS;SI
Persistence;Scheduled Task/Job;T1053;Privilege Escalation, Execution;NO;At;T1053.002;-;SI;NO;-;-;NO
