FICHERO PCAP,App (Control de Aplicaciones)
T1499-Dhcp_flood_[1].pcapng,-
T1499-Land_[1].pcapng,-
T1499-Mac_spoof_[1].pcapng,-
T1499-Reflexion_synack_[1].pcapng,-
T1499-Reseteo_[1].pcapng,-
T1499-Syn_suplantacion_[1].pcapng,-
T1499.001-OS_Exhaustion_Flood_[3].pcapng,web-browsing -- internet-utility
T1499.02-Slowhttptest-C2018_[6].pcapng,-
T1499.02-Slowloris-C2018_[6].pcapng,-
T1499.03-GoldenEye-C2018_[6].pcapng,-
T1499.03-Hulk-C2018_[6].pcapng,-
T1505.001-SQL_inyection_[3].pcapng,-
T1505.005-Shell_Web_[2].pcapng,-
T1534-Internal_spearphishing_[4].pcapng,smtp-base -- email
T1537-Transfer_Data_to_Cloud_Account_[5].pcapng,ms-onedrive-business -- file sharing
T1542.005-TFTP_Boot_[5].pcapng,tftp -- file sharing
T1543.003-CreateSystemProcessWindowsService_[5].pcapng,-
T1557-Arp_spoof_[1].pcapng,-
T1557-Dhcp_spoofing_[1].pcapng,-
T1557-Hole196_[1].pcapng,-
T1557-Puente_raiz_[1].pcapng,-
T1557-Redireccion_[1].pcapng,-
T1557.002-ARP_poisoning1_[2].pcapng,-
T1557.002-ARP_poisoning2_[3].pcapng,-
T1563.002-RDPHijacking_[5].pcapng,-
T1565.001-SQL_inyection_[3].pcapng,-
T1566.001-C2018_[6].pcapng,-
T1566.002-Spearphishing_Link_[5].pcapng,-
T1567.002-Exfiltration_To_Cloud_Storage_[5].pcapng,google-drive-web-base -- file sharing
T1568-fastFluxDNS_[5].pcapng,-
T1569-System_services_service_execution_[4].pcapng,-
T1570-Lateral_Tool_Transfer_[5].pcapng,-
T1571-SSH_[2].pcapng,-
T1572-Protocol_Tunneling_[5].pcapng,psexec -- remote-acess
T1573.002_AssymetricCryptography_[5].pcapng,-
T1584-Cache_dns_[1].pcapng,-
T1584-Secuestro_dns_[1].pcapng,-
T1584.005-C2018_[6].pcapng,vimeo-base -- photo video / ms-rdp -- remote access /
T1585.001-Establish_social_accounts_[4].pcapng,-
T1586.001-Compromise_Accounts_[2].pcapng,-
T1589.002-Gather_victim_identity_information_[4].pcapng,smtp-base -- email (risk of app = 5)
T1595.002-Port_Scanning_[3].pcapng,portmapper -- infrastructure
T1595.003-Web_page_scanning1_[2].pcapng,-
T1595.003-Web_page_scanning2_[3].pcapng,-
T1596.001-DNS_Transfer_[2].pcapng,-
T1598.003-Spearphishing_Link_[5].pcapng,-
T1599-NBB1_[5].pcapng,-
T1599-NBB2_[5].pcapng,-
T1599-Salto_vlan_[1].pcapng,-
T1602.001-MIB_Dump_[2].pcapng,snmpv1 -- infrastructure
T1612-BuildImageOnHostLocal_[5].pcapng,-
T1612-BuildImageOnHostNAT_[5].pcapng,apt-get -- managament -- consume big bandwith
T1615-Group_Policy_Discovery_[5].pcapng,-
T1659_Inyeccion_[1].pcapng,-
T1659-Content_Injection_[5].pcapng,-
T1665-Hide_Infrastructure_[5].pcapng,-
