Fichero PCAP	Nº de Flujos con Ataque NO DETECTADOS	Nº Flujos con Ataque en el PCAP	Nº Alertas IPS (Ataque) generadas (Attackids)	Attackids de Alertas IPS generadas	Nº Alertas APP-CTRL generadas (Appid)	Nº Flujos con Ataque Detectados por IPS	Nº Flujos con Ataque Detectados por APP-CTRL	Nº Flujos con Ataque Detectados Totales	Alerta Identificada (Ataque) que NO está saltando	Categoría del Ataque	Explicación
T1110-Ptw_korek_[1].pcapng	1	1	0	-	0	0	0	0		L1	FUERA DEL ALCANCE DEL IDS (NO ES RELEVANTE)
T1110-Wps_[1].pcapng	1	1	0	-	0	0	0	0		L1	FUERA DEL ALCANCE DEL IDS (NO ES RELEVANTE)
T1112-Modify_registry_[4].pcapng	1	1	0	-	6	0	0	0		L2	No se generan alertas y el control de aplicaciones no marca el uso de la funcionalidad de registro remoto
T1132.001-Standard_Encoding_[5].pcapng	5	5	0	-	3	0	0	0		L1	El control de aplicaciones sólo detecta el uso de navegadores y protocolos concretos, sin detectar el codificado
T1133-External_remote_services_[4].pcapng	1	1	0	-	7	0	0	0		L2	El control de aplicaciones no marca el acceso a la VPN
T1176-Browser-extension_[4].pcapng	212	212	0	-	3	0	0	0		L1	El control de aplicaciones no marca el uso de una extensión, sino el uso de un navegador. No se puede determinar como válida
T1189-Drive-by_compromise_v2_[4].pcapng	1	1	0	-	1	0	0	0		L1	El control de aplicaciones sólo marca el uso del navegador y las peticiones HTTP
T1200-Hardware_Additions_[5].pcapng	1	1	0	-	3	0	0	0		L1	El control de aplicaciones sólo marca el uso de RDP, nada más
T1204.001-malicious_link_[3].pcapng	1	1	0	-	0	0	0	0		L1	No se ha generado ningún tipo de alerta
T1205.001-Port_Knocking_[3].pcapng	1	1	0	-	1	0	0	0		L1	El control de aplicaciones sólo marca el uso de SSH
T1210-Web_attack-C2018_[6].pcapng	1	1	0	-	1	0	0	0		L1	El control de aplicaciones sólo marca el uso deL navegador Firefox
T1213-SQL_inyection_[3].pcapng	1	1	0	-	1	0	0	0	URI.SQL.Injection	L1	El control de aplicaciones sólo marca el uso deL navegador Firefox
T1218.010-COM_Scriptlet_[2].pcapng	1	1	0	-	2	0	0	0		L1	El control de aplicaciones sólo marca el uso de Github, pero no es suficiente para detectar el ataque
T1221-Template_Injection_[5].pcapng	1	1	0	12449	6	0	0	0		L2	El control de aplicaciones sólo detecta navegadores y otros. El motor IPS detecta un ataque colateral pero no el principal
T1482-Domain_trust_discovery_[4].pcapng	1	1	0	-	3	0	0	0		L2	El control de aplicaciones detecta el uso de Kerberos y LDAP, pero no indica nada de un acceso a los dominios de confianza
T1491.001-Internal_Defacement_[5].pcapng	1	1	0	-	4	0	0	0		L2	El control de aplicaciones detecta el uso del servicio NetBIOS, pero no especifica más allá. No es posible identificar el ataque en base a las alertas generadas
T1496-Cryptomining_[2].pcapng	1	1	0	-	5	0	0	0		L1	Se detecta el acceso a Github, pero no se indica nada relacionado con el software de criptominado
T1498.001-MAC_table_flood_[3].pcapng	21711	21711	0	-	1	0	0	0		L1	FUERA DEL ALCANCE DEL IDS (NO ES RELEVANTE)
T1498.001-UDP_flood_1-C2018_[6].pcapng	110	110	0	-	6	0	0	0		L1	Ninguna alerta relacionada con DoS
T1498.001-UDP_flood_2-C2018_[6].pcapng	1473	1473	0	-	1	0	0	0		L1	Ninguna alerta relacionada con DoS
T1498-Fraggle_[1].pcapng	1	1	0	-	1	0	0	0		L1	El control de aplicaciones avisa del uso de ICMP, pero nada más allá
T1498-Smurf_[1].pcapng	1	1	0	-	2	0	0	0		L1	El control de aplicaciones avisa del uso de ICMP, pero nada más allá
T1498-Tcbpdu_[1].pcapng	1	1	0	-	0	0	0	0		L1	FUERA DEL ALCANCE DEL IDS (NO ES RELEVANTE)
T1499.001-OS_Exhaustion_Flood_[3].pcapng	150	150	0	-	6	0	0	0	Slowloris.DoS	L1	Ninguna alerta relacionada con DoS
T1499.02-Slowhttptest-C2018_[6].pcapng	10550	10550	0	-	0	0	0	0	SlowHTTPTest.Http.Request.DoS	L1	Ninguna alerta relacionada con DoS
T1499.03-GoldenEye-C2018_[6].pcapng	27772	27772	0	-	5	0	0	0		L1	Ninguna alerta relacionada con DoS
T1499.03-Hulk-C2018_[6].pcapng	44878	44878	0	-	4	0	0	0		L1	Ninguna alerta relacionada con DoS
T1499-Dhcp_flood_[1].pcapng	1	1	0	-	2	0	0	0		L1	Ninguna alerta relacionada con inundaciones DHCP
T1499-Mac_spoof_[1].pcapng	1	1	0	-	1	0	0	0		L1	FUERA DEL ALCANCE DEL IDS (NO ES RELEVANTE)
T1499-Reflexion_synack_[1].pcapng	952	952	0	-	0	0	0	0		L1	Ninguna alerta
T1499-Syn_suplantacion_[1].pcapng	2332	2332	0	-	0	0	0	0		L1	Ninguna alerta
T1534-Internal_spearphishing_[4].pcapng	1	1	0	-	4	0	0	0		L2	El control de aplicaciones sólo detecta el uso de protocolos de mensajería como IMAP y SMTP
T1542.005-TFTP_Boot_[5].pcapng	1	1	0	-	9	0	0	0		L1	El control de aplicaciones sólo detecta protocolos y herramientas genéricas, no identifica el ataque
T1543.003-CreateSystemProcessWindowsService_[5].pcapng	1	1	0	12449	1	0	0	0		L1	El control de aplicaciones sólo detecta el uso de Wake.On.LAN y el motor IPS sólo detecta el uso de Shell Remoto (ataque colateral)
T1557.002-ARP_poisoning1_[2].pcapng	1	1	0	-	1	0	0	0		L1	Ninguna alerta relevante
T1557.002-ARP_poisoning2_[3].pcapng	1	1	0	-	0	0	0	0		L1	Ninguna alerta
T1557-Arp_spoof_[1].pcapng	1	1	0	-	1	0	0	0		L1	FUERA DEL ALCANCE DEL IDS (NO ES RELEVANTE)
T1557-Dhcp_spoofing_[1].pcapng	1	1	0	-	4	0	0	0		L1	Ninguna alerta relevante
T1557-Hole196_[1].pcapng	1	1	0	-	2	0	0	0		L1	Sólo se detecta el uso de Ping
T1557-Puente_raiz_[1].pcapng	1	1	0	-	1	0	0	0		L1	FUERA DEL ALCANCE DEL IDS (NO ES RELEVANTE)
T1557-Redireccion_[1].pcapng	1	1	0	-	2	0	0	0		L1	FUERA DEL ALCANCE DEL IDS (NO ES RELEVANTE)
T1563.002-RDPHijacking_[5].pcapng	2	2	0	-	3	0	0	0		L1	Ninguna alerta relevante
T1566.002-Spearphishing_Link_[5].pcapng	1	1	0	-	6	0	0	0		L1	Sólo se detecta el uso de POP3, pero nada más
T1568-fastFluxDNS_[5].pcapng	123	123	0	-	5	0	0	0	DNS.Fast.Flux	L1	Sólo se detecta el uso de DNS
T1571-SSH_[2].pcapng	1	1	0	-	1	0	0	0		L2	Se detecta el uso de SSH, pero no se indica de forma explícita que se está creando la sesión fuera de los puertos comunes
T1584.005-C2018_[6].pcapng	81521	81521	0	-	11	0	0	0		L1	Se desconoce el foco principal del ataque (no cuenta para los análisis)
T1584-Cache_dns_[1].pcapng	1	1	0	-	2	0	0	0		L1	FUERA DEL ALCANCE DEL IDS (NO ES RELEVANTE)
T1584-Secuestro_dns_[1].pcapng	1	1	0	-	2	0	0	0		L1	FUERA DEL ALCANCE DEL IDS (NO ES RELEVANTE)
T1585.001-Establish_social_accounts_[4].pcapng	1	1	0	-	1	0	0	0		L2	FUERA DEL ALCANCE DEL IDS (NO ES RELEVANTE)
T1589.002-Gather_victim_identity_information_[4].pcapng	1	1	0	-	1	0	0	0		L2	Sólo se detectan los protocolos, no el ataque
T1595.003-Web_page_scanning1_[2].pcapng	181	181	0	-	1	0	0	0		L1	Las alertas generadas para detectar el escaneo son insuficientes
T1598.003-Spearphishing_Link_[5].pcapng	2	2	0	-	6	0	0	0		L1	Sólo se detecta el uso de POP3S, pero nada más
T1599-NBB1_[5].pcapng	1	1	0	-	2	0	0	0		L2	Sólo se detecta el uso de SSH
T1599-NBB2_[5].pcapng	1	1	0	-	1	0	0	0		L2	Sólo se detecta el uso de SSH
T1599-Salto_vlan_[1].pcapng	1	1	0	-	0	0	0	0		L1	FUERA DEL ALCANCE DEL IDS (NO ES RELEVANTE)
T1615-Group_Policy_Discovery_[5].pcapng	41	41	0	-	4	0	0	0		L2	Sólo detecta el uso de LDAP
T1659_Inyeccion_[1].pcapng	1	1	0	-	2	0	0	0		L1	FUERA DEL ALCANCE DEL IDS (NO ES RELEVANTE)
T1659-Content_Injection_[5].pcapng	2	2	0	-	9	0	0	0		L1	Sólo se detectan protocolos, no el ataque como tal
