attackid,severity,attack,service,srcip,dstip,subtype,eventtype
14956,high,Somery.Include.PHP.File.Inclusion,HTTP,172.16.1.2,172.16.2.2,ips,signature
13825,low,Joomla!.com_webring.Remote.File.Inclusion,HTTP,172.16.1.2,172.16.2.2,ips,signature
14947,low,FrontAccounting.Config.PHP.File.Inclusion,HTTP,172.16.1.2,172.16.2.2,ips,signature
15115,medium,DFD.Cart.Set.Depth.Parameter.File.Inclusion,HTTP,172.16.1.2,172.16.2.2,ips,signature
29615,medium,Vmist.Downstat.Remote.File.Inclusion,HTTP,172.16.1.2,172.16.2.2,ips,signature
15100,medium,AnyInventory.Environment.PHP.File.Inclusion,HTTP,172.16.1.2,172.16.2.2,ips,signature
14740,high,Mazen.PHP.Chat.Multiple.File.Inclusion,HTTP,172.16.1.2,172.16.2.2,ips,signature
30542,high,Quezza.Class_template.php.Remote.File.Inclusion,HTTP,172.16.1.2,172.16.2.2,ips,signature
14157,medium,TotalCalendar.Multiple.Remote.File.Inclusion,HTTP,172.16.1.2,172.16.2.2,ips,signature
15092,high,OFFL.DOC.ROOT.File.Inclusion,HTTP,172.16.1.2,172.16.2.2,ips,signature
14949,high,Linksnet.Newsfeed.PHP.File.Inclusion,HTTP,172.16.1.2,172.16.2.2,ips,signature
15118,medium,PhpRealty.MGR.Parameter.File.Inclusion,HTTP,172.16.1.2,172.16.2.2,ips,signature
29564,medium,PHP.Remote.Arbitrary.File.Inclusion,HTTP,172.16.1.2,172.16.2.2,ips,signature
14742,low,Xoops.Horoscope.Module.Footer.PHP.File.Inclusion,HTTP,172.16.1.2,172.16.2.2,ips,signature
15110,medium,iziContents.gsLanguage.Parameter.File.Inclusion,HTTP,172.16.1.2,172.16.2.2,ips,signature
14230,medium,ZebraFeeds.Remote.File.Inclusion,HTTP,172.16.1.2,172.16.2.2,ips,signature
10819,high,PHP.Phorum.Arbitrary.Code.Execution,HTTP,172.16.1.2,172.16.2.2,ips,signature
14737,low,phphtml.PHP.File.Inclusion,HTTP,172.16.1.2,172.16.2.2,ips,signature
14953,low,Php.Blue.Dragon.Activecontent.PHP.File.Inclusion,HTTP,172.16.1.2,172.16.2.2,ips,signature
15114,medium,Helplink.Show.PHP.File.Inclusion,HTTP,172.16.1.2,172.16.2.2,ips,signature
14341,high,Aardvark.Topsites.PHP.Remote.Command.Execution,HTTP,172.16.1.2,172.16.2.2,ips,signature
29614,high,TSEP.Colorswitch.PHP.Remote.File.Inclusion,HTTP,172.16.1.2,172.16.2.2,ips,signature
14948,high,LaVague.PrintBar.PHP.File.Inclusion,HTTP,172.16.1.2,172.16.2.2,ips,signature
32033,medium,VMware.Server.Directory.Traversal,HTTP,172.16.1.2,172.16.2.2,ips,signature
29965,medium,Splunk.Web.Component.Parameter.Injection,HTTP,172.16.1.2,172.16.2.2,ips,signature
31752,high,PHP.CGI.Argument.Injection,HTTP,172.16.1.2,172.16.2.2,ips,signature
47202,high,TP-Link.TL-R600VPN.HTTP.Server.help.Information.Disclosure,HTTP,172.16.1.2,172.16.2.2,ips,signature
